罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金以外の主な被害品
窃盗,部品ねらい,加賀町,尾上町,141046,神奈川県,横浜市中区,港町４丁目,20240229,7,その他,駐車（輪）場,その他
窃盗,部品ねらい,加賀町,尾上町,141046,神奈川県,横浜市中区,港町４丁目,20240810,10,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,加賀町,元町,141046,神奈川県,横浜市中区,新山下１丁目,20240224,16,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,加賀町,元町,141046,神奈川県,横浜市中区,新山下１丁目,20231225,4,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,加賀町,元町,141046,神奈川県,横浜市中区,新山下１丁目,20240321,19,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,加賀町,元町,141046,神奈川県,横浜市中区,新山下１丁目,20240701,12,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,加賀町,元町,141046,神奈川県,横浜市中区,新山下１丁目,20231027,18,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,加賀町,元町,141046,神奈川県,横浜市中区,新山下１丁目,20241228,14,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,山手,見晴通,141046,神奈川県,横浜市中区,本郷町２丁目,20240623,18,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,山手,見晴通,141046,神奈川県,横浜市中区,本牧町１丁目,20240607,12,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,山手,山手駅前,141046,神奈川県,横浜市中区,豆口台,20240304,10,一戸建住宅,その他,ナンバープレート
窃盗,部品ねらい,山手,山元町,141046,神奈川県,横浜市中区,山元町４丁目,20241223,18,一戸建住宅,その他,その他
窃盗,部品ねらい,山手,本牧ふ頭,141046,神奈川県,横浜市中区,小港町１丁目,20240106,23,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,山手,本牧ふ頭,141046,神奈川県,横浜市中区,小港町１丁目,20240202,22,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,山手,本牧ふ頭,141046,神奈川県,横浜市中区,錦町,20240411,19,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,山手,本牧ふ頭,141046,神奈川県,横浜市中区,錦町,20240611,5,その他,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,山手,本牧ふ頭,141046,神奈川県,横浜市中区,錦町,20240826,22,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,山手,本牧ふ頭,141046,神奈川県,横浜市中区,本牧ふ頭,不明,不明,その他,その他,ナンバープレート
窃盗,部品ねらい,磯子,丸山,141071,神奈川県,横浜市磯子区,滝頭１丁目,20241005,15,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,磯子,丸山,141071,神奈川県,横浜市磯子区,滝頭３丁目,20241004,16,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,磯子,丸山,141071,神奈川県,横浜市磯子区,丸山１丁目,20240310,19,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,磯子,丸山,141071,神奈川県,横浜市磯子区,丸山１丁目,20240414,5,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,磯子,丸山,141071,神奈川県,横浜市磯子区,丸山２丁目,20240822,13,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,磯子,汐見台,141071,神奈川県,横浜市磯子区,汐見台２丁目,20240809,19,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,磯子,森,141071,神奈川県,横浜市磯子区,森４丁目,20241102,16,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,磯子,森,141071,神奈川県,横浜市磯子区,森５丁目,20241118,8,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,磯子,森,141071,神奈川県,横浜市磯子区,森６丁目,20241030,16,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,磯子,杉田,141071,神奈川県,横浜市磯子区,杉田５丁目,20240414,23,駐車（輪）場,駐車（輪）場,なし
窃盗,部品ねらい,磯子,洋光台,141071,神奈川県,横浜市磯子区,洋光台２丁目,20240308,19,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,磯子,洋光台,141071,神奈川県,横浜市磯子区,洋光台３丁目,20231217,20,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,磯子,洋光台,141071,神奈川県,横浜市磯子区,洋光台３丁目,20240721,16,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,磯子,上中里,141071,神奈川県,横浜市磯子区,上中里町,20241103,18,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,磯子,上中里,141071,神奈川県,横浜市磯子区,上中里町,20241110,15,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,磯子,上中里,141071,神奈川県,横浜市磯子区,氷取沢町,20240213,19,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,磯子,上中里,141071,神奈川県,横浜市磯子区,氷取沢町,20240904,19,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,磯子,磯子駅前,141071,神奈川県,横浜市磯子区,磯子３丁目,20241201,17,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,磯子,磯子駅前,141071,神奈川県,横浜市磯子区,磯子８丁目,20240813,22,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,磯子,磯子駅前,141071,神奈川県,横浜市磯子区,森１丁目,20240123,11,その他,その他,ナンバープレート
窃盗,部品ねらい,金沢,富岡,141089,神奈川県,横浜市金沢区,鳥浜町,20240201,9,その他,駐車（輪）場,その他
窃盗,部品ねらい,金沢,富岡,141089,神奈川県,横浜市金沢区,富岡東１丁目,20240114,20,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,金沢,金沢文庫駅前,141089,神奈川県,横浜市金沢区,泥亀１丁目,20240710,7,その他,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,金沢,金沢文庫駅前,141089,神奈川県,横浜市金沢区,谷津町,20240216,18,道路上,その他,その他
窃盗,部品ねらい,金沢,金沢文庫駅前,141089,神奈川県,横浜市金沢区,釜利谷東１丁目,20241119,17,駐車（輪）場,駐車（輪）場,その他
