罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金以外の主な被害品
窃盗,部品ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,共進町３丁目,2020-03-21,16,４階建て以上共同住宅,その他,ナンバープレート
窃盗,部品ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町１丁目,2020-10-03,22,４階建て以上共同住宅,その他,ナンバープレート
窃盗,部品ねらい,南,八幡町,141054,神奈川県,横浜市南区,中村町１丁目,2020-03-30,16,駐車（輪）場,駐車（輪）場,カーナビ
窃盗,部品ねらい,南,八幡町,141054,神奈川県,横浜市南区,中村町１丁目,2020-08-16,23,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,八幡町,141054,神奈川県,横浜市南区,中村町２丁目,2020-05-20,19,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,平楽,141054,神奈川県,横浜市南区,平楽,2020-02-12,17,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,新川町４丁目,2020-11-14,18,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,西中町３丁目,2020-08-21,18,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,日枝町１丁目,2020-11-09,20,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,南吉田町２丁目,2020-10-22,17,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,久保山,141054,神奈川県,横浜市南区,庚台,2020-11-20,17,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,久保山,141054,神奈川県,横浜市南区,三春台,2020-09-17,18,一戸建住宅,その他,ナンバープレート
窃盗,部品ねらい,南,久保山,141054,神奈川県,横浜市南区,三春台,2020-11-11,16,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,南太田,141054,神奈川県,横浜市南区,清水ケ丘,2020-12-12,16,その他,その他,ナンバープレート
窃盗,部品ねらい,南,南太田,141054,神奈川県,横浜市南区,南太田１丁目,2020-09-16,23,道路上,その他,ナンバープレート
窃盗,部品ねらい,南,南太田,141054,神奈川県,横浜市南区,南太田１丁目,2020-10-25,19,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,南太田,141054,神奈川県,横浜市南区,南太田１丁目,2020-11-11,15,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,大岡町,141054,神奈川県,横浜市南区,中里１丁目,不明,不明,一戸建住宅,その他,ナンバープレート
窃盗,部品ねらい,南,大岡町,141054,神奈川県,横浜市南区,中里１丁目,2020-04-15,18,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,大岡町,141054,神奈川県,横浜市南区,別所１丁目,2020-07-24,18,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,大岡町,141054,神奈川県,横浜市南区,別所１丁目,2020-11-17,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,永田南１丁目,2020-05-13,22,その他の住宅（３階建て以下共同住宅等）,その他,ナンバープレート
窃盗,部品ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,永田南２丁目,2020-04-28,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,永田,141054,神奈川県,横浜市南区,永田北２丁目,2020-08-31,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,永田,141054,神奈川県,横浜市南区,永田東２丁目,2020-04-27,19,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,永田,141054,神奈川県,横浜市南区,永田東３丁目,2020-03-03,00,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川１丁目,2020-11-20,19,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川２丁目,2019-12-27,17,その他の住宅（３階建て以下共同住宅等）,その他,ナンバープレート
窃盗,部品ねらい,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川２丁目,2020-01-06,16,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川２丁目,2020-08-27,14,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,別所町,141054,神奈川県,横浜市南区,別所２丁目,2020-05-01,23,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,別所町,141054,神奈川県,横浜市南区,別所２丁目,2020-08-18,21,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,別所町,141054,神奈川県,横浜市南区,別所３丁目,2020-03-12,14,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,別所町,141054,神奈川県,横浜市南区,別所５丁目,2020-04-04,22,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,別所町,141054,神奈川県,横浜市南区,別所７丁目,2020-10-26,20,一戸建住宅,その他,その他
窃盗,部品ねらい,南,別所町,141054,神奈川県,横浜市南区,別所中里台,2020-11-20,19,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,大池,141054,神奈川県,横浜市南区,永田みなみ台,2020-02-27,07,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,大池,141054,神奈川県,横浜市南区,永田みなみ台,2020-03-22,16,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,大池,141054,神奈川県,横浜市南区,永田みなみ台,2020-05-04,12,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,南,大池,141054,神奈川県,横浜市南区,永田みなみ台,2020-07-29,18,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川３丁目,2020-05-06,16,駐車（輪）場,駐車（輪）場,ナンバープレート
