罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,現金以外の主な被害品
窃盗,部品ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町１丁目,2018-06-24,20,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町２丁目,2018-04-23,15,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町２丁目,2018-05-12,20,その他,ナンバープレート
窃盗,部品ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,蒔田町,2018-08-12,17,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,南,中村橋,141054,神奈川県,横浜市南区,中村町４丁目,2018-12-03,18,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,八幡町,141054,神奈川県,横浜市南区,中村町１丁目,2018-01-06,19,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,白金町２丁目,2018-04-19,16,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,新川町２丁目,2018-04-22,21,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,西中町４丁目,2018-12-02,11,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,南吉田町５丁目,2017-12-11,19,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,久保山,141054,神奈川県,横浜市南区,三春台,2018-06-20,17,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,南,南太田,141054,神奈川県,横浜市南区,清水ケ丘,2018-02-15,22,一戸建住宅,その他
窃盗,部品ねらい,南,南太田,141054,神奈川県,横浜市南区,清水ケ丘,2018-08-14,23,一戸建住宅,その他
窃盗,部品ねらい,南,南太田,141054,神奈川県,横浜市南区,清水ケ丘,2018-10-23,06,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,南,南太田,141054,神奈川県,横浜市南区,清水ケ丘,2018-12-02,09,一戸建住宅,ナンバープレート
窃盗,部品ねらい,南,大岡町,141054,神奈川県,横浜市南区,大岡５丁目,2017-12-31,15,駐車（輪）場,その他
窃盗,部品ねらい,南,大岡町,141054,神奈川県,横浜市南区,中里１丁目,2018-02-20,17,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,南,大岡町,141054,神奈川県,横浜市南区,中里１丁目,2018-07-27,02,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,大岡町,141054,神奈川県,横浜市南区,中里１丁目,2018-08-25,17,４階建て以上共同住宅,タイヤ・ホイール
窃盗,部品ねらい,南,大岡町,141054,神奈川県,横浜市南区,中里１丁目,2018-08-27,18,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,永田南１丁目,2018-05-09,20,一戸建住宅,ナンバープレート
窃盗,部品ねらい,南,永田,141054,神奈川県,横浜市南区,永田北１丁目,2018-07-10,01,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,南,永田,141054,神奈川県,横浜市南区,永田北１丁目,2018-12-03,21,その他,その他
窃盗,部品ねらい,南,永田,141054,神奈川県,横浜市南区,永田北２丁目,2018-04-06,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,永田,141054,神奈川県,横浜市南区,永田北２丁目,2018-11-12,18,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,南,永田,141054,神奈川県,横浜市南区,永田台,2018-04-18,22,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,永田,141054,神奈川県,横浜市南区,永田東３丁目,2016-12-31,09,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川１丁目,2018-01-27,18,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川２丁目,2018-07-11,23,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,別所町,141054,神奈川県,横浜市南区,別所３丁目,2018-01-13,12,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,大池,141054,神奈川県,横浜市南区,永田みなみ台,2018-06-29,16,４階建て以上共同住宅,その他
窃盗,部品ねらい,南,大池,141054,神奈川県,横浜市南区,永田みなみ台,2018-08-14,17,４階建て以上共同住宅,その他
窃盗,部品ねらい,南,大池,141054,神奈川県,横浜市南区,永田みなみ台,2018-11-03,09,４階建て以上共同住宅,タイヤ・ホイール
窃盗,部品ねらい,南,大池,141054,神奈川県,横浜市南区,別所４丁目,2018-07-10,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川３丁目,2018-09-15,06,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,南,通町,141054,神奈川県,横浜市南区,大岡２丁目,2018-11-03,18,４階建て以上共同住宅,その他
窃盗,部品ねらい,南,通町,141054,神奈川県,横浜市南区,中島町１丁目,2018-08-05,14,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,南,浦舟町,141054,神奈川県,横浜市南区,浦舟町１丁目,2018-05-03,18,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,浦舟町,141054,神奈川県,横浜市南区,永楽町１丁目,2017-08-27,15,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,南,浦舟町,141054,神奈川県,横浜市南区,永楽町２丁目,2018-06-06,15,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,浦舟町,141054,神奈川県,横浜市南区,白妙町２丁目,2018-01-16,19,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,浦舟町,141054,神奈川県,横浜市南区,高根町２丁目,2018-05-02,19,４階建て以上共同住宅,ナンバープレート
