罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,現金以外の主な被害品
窃盗,部品ねらい,南,浦舟町,141054,神奈川県,横浜市南区,高根町４丁目,2018-10-11,19,その他の住宅（３階建て以下共同住宅等）,なし
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,深見,2018-03-02,17,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,深見,2018-03-04,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,深見,2018-12-24,21,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,深見台１丁目,2018-01-18,19,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,深見台１丁目,2018-07-06,11,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,深見台１丁目,2018-10-28,18,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,大和東３丁目,2018-02-16,20,駐車（輪）場,その他
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,大和東３丁目,2018-10-07,01,駐車（輪）場,その他
窃盗,部品ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳,2018-09-08,18,その他,ナンバープレート
窃盗,部品ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳３丁目,2018-03-29,12,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳５丁目,2017-12-30,21,駐車（輪）場,その他
窃盗,部品ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳５丁目,2018-05-29,20,駐車（輪）場,その他
窃盗,部品ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳６丁目,2018-05-08,17,一戸建住宅,タイヤ・ホイール
窃盗,部品ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,桜森１丁目,2018-08-06,22,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,桜森２丁目,2018-03-15,04,駐車（輪）場,カーナビ
窃盗,部品ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,桜森２丁目,2018-08-07,19,駐車（輪）場,その他
窃盗,部品ねらい,大和,相模大塚駅前,142182,神奈川県,綾瀬市,大上９丁目,2017-08-29,10,その他,その他
窃盗,部品ねらい,大和,相模大塚駅前,142182,神奈川県,綾瀬市,蓼川３丁目,2018-04-15,00,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間,2018-03-25,20,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間１丁目,2018-01-05,16,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間２丁目,2017-12-28,23,４階建て以上共同住宅,その他
窃盗,部品ねらい,大和,鶴間駅前,142131,神奈川県,大和市,鶴間１丁目,2018-02-03,19,道路上,その他
窃盗,部品ねらい,大和,鶴間駅前,142131,神奈川県,大和市,鶴間１丁目,2018-06-19,18,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,大和,鶴間駅前,142131,神奈川県,大和市,鶴間１丁目,2018-06-19,19,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,鶴間駅前,142131,神奈川県,大和市,鶴間１丁目,2018-07-24,18,４階建て以上共同住宅,その他
窃盗,部品ねらい,大和,鶴間駅前,142131,神奈川県,大和市,鶴間１丁目,2018-09-23,15,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,大和,鶴間駅前,142131,神奈川県,大和市,鶴間１丁目,2018-11-01,19,一戸建住宅,ナンバープレート
窃盗,部品ねらい,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間７丁目,2018-01-23,09,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間８丁目,2018-04-17,20,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,鶴間駅前,142131,神奈川県,大和市,深見西４丁目,2018-11-10,21,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,大和,南林間駅前,142131,神奈川県,大和市,南林間４丁目,2018-01-08,19,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,大和,南林間駅前,142131,神奈川県,大和市,南林間７丁目,2018-01-18,16,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大和,南林間駅前,142131,神奈川県,大和市,南林間７丁目,2018-12-05,20,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,つきみ野駅前,142131,神奈川県,大和市,下鶴間,2018-05-26,07,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,大和,つきみ野駅前,142131,神奈川県,大和市,下鶴間,2018-09-28,01,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,中央林間,142131,神奈川県,大和市,中央林間１丁目,2018-08-16,22,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,大和,中央林間,142131,神奈川県,大和市,中央林間２丁目,2018-01-16,17,駐車（輪）場,その他
窃盗,部品ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,上和田,2018-03-12,16,駐車（輪）場,その他
窃盗,部品ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,上和田,2018-11-05,22,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,福田,2018-04-01,06,その他,ナンバープレート
窃盗,部品ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,福田８丁目,2018-01-20,18,駐車（輪）場,その他
窃盗,部品ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,柳橋３丁目,2018-01-27,16,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,柳橋３丁目,2018-04-01,19,一戸建住宅,その他
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,上和田,2018-03-09,02,４階建て以上共同住宅,タイヤ・ホイール
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,上和田,2018-10-05,11,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,下和田,2018-02-20,16,駐車（輪）場,その他
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,下和田,2018-02-20,17,駐車（輪）場,その他
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,下和田,2018-03-10,22,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,代官１丁目,2018-07-29,18,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,代官１丁目,2018-08-18,08,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,福田,2018-05-20,08,駐車（輪）場,その他
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,福田,2018-06-10,19,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,福田,2018-06-15,21,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,大和,上土棚,142182,神奈川県,綾瀬市,上土棚中２丁目,2018-03-18,15,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,上土棚,142182,神奈川県,綾瀬市,落合南３丁目,2018-06-17,13,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,大和,寺尾,142182,神奈川県,綾瀬市,寺尾中１丁目,2018-12-06,15,道路上,ナンバープレート
窃盗,部品ねらい,大和,寺尾,142182,神奈川県,綾瀬市,寺尾西２丁目,2018-03-08,19,一戸建住宅,ナンバープレート
窃盗,部品ねらい,大和,寺尾,142182,神奈川県,綾瀬市,寺尾台４丁目,2018-08-11,22,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大和,深谷,142182,神奈川県,綾瀬市,深谷中４丁目,2018-12-07,22,一戸建住宅,ナンバープレート
窃盗,部品ねらい,大和,深谷,142182,神奈川県,綾瀬市,深谷中６丁目,2018-09-09,02,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,大和,深谷,142182,神奈川県,綾瀬市,深谷南１丁目,2018-03-15,12,駐車（輪）場,その他
窃盗,部品ねらい,大和,深谷,142182,神奈川県,綾瀬市,深谷南４丁目,2018-07-10,15,一戸建住宅,その他
窃盗,部品ねらい,大和,深谷,142182,神奈川県,綾瀬市,,2018-12-17,21,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,深谷,142182,神奈川県,綾瀬市,深谷上７丁目,2018-05-31,20,駐車（輪）場,その他
窃盗,部品ねらい,大和,深谷,142182,神奈川県,綾瀬市,深谷上７丁目,2018-09-02,15,一戸建住宅,ナンバープレート
窃盗,部品ねらい,大和,下鶴間,142131,神奈川県,大和市,下鶴間,2018-02-09,20,その他,その他
窃盗,部品ねらい,大和,下鶴間,142131,神奈川県,大和市,下鶴間,2018-05-18,18,一戸建住宅,その他
窃盗,部品ねらい,大和,下鶴間,142131,神奈川県,大和市,下鶴間,2018-06-21,19,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,下鶴間,142131,神奈川県,大和市,下鶴間,2018-11-01,06,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,綾瀬地区,142182,神奈川県,綾瀬市,早川,2018-11-30,20,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,泉,中田,141160,神奈川県,横浜市泉区,中田町,2018-09-07,12,その他,ナンバープレート
窃盗,部品ねらい,泉,中田,141160,神奈川県,横浜市泉区,中田東１丁目,2018-04-08,15,その他の住宅（３階建て以下共同住宅等）,なし
窃盗,部品ねらい,泉,中田,141160,神奈川県,横浜市泉区,中田東４丁目,2018-03-09,16,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,泉,中田,141160,神奈川県,横浜市泉区,中田北１丁目,2018-01-22,01,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,泉,中田,141160,神奈川県,横浜市泉区,中田南４丁目,2018-07-25,17,一戸建住宅,ナンバープレート
窃盗,部品ねらい,泉,中田,141160,神奈川県,横浜市泉区,中田南５丁目,2018-02-27,19,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,泉,中田,141160,神奈川県,横浜市泉区,中田南５丁目,2018-08-25,01,一戸建住宅,ナンバープレート
窃盗,部品ねらい,泉,和泉,141160,神奈川県,横浜市泉区,和泉町,2018-07-20,10,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,泉,和泉,141160,神奈川県,横浜市泉区,和泉町,2018-08-09,14,駐車（輪）場,その他
窃盗,部品ねらい,泉,和泉,141160,神奈川県,横浜市泉区,,2018-06-02,13,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,泉,和泉,141160,神奈川県,横浜市泉区,,2018-06-15,20,その他,ナンバープレート
窃盗,部品ねらい,泉,和泉,141160,神奈川県,横浜市泉区,和泉中央北１丁目,2018-01-03,17,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,泉,和泉,141160,神奈川県,横浜市泉区,和泉中央北１丁目,2018-02-25,19,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,泉,和泉,141160,神奈川県,横浜市泉区,和泉中央北１丁目,2018-02-26,21,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,泉,和泉,141160,神奈川県,横浜市泉区,和泉中央北２丁目,2018-09-18,11,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,泉,下和泉,141160,神奈川県,横浜市泉区,和泉町,2018-04-02,18,その他,その他
窃盗,部品ねらい,泉,下和泉,141160,神奈川県,横浜市泉区,和泉町,2018-10-22,01,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,泉,下和泉,141160,神奈川県,横浜市泉区,下和泉１丁目,2018-06-16,12,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,泉,下和泉,141160,神奈川県,横浜市泉区,下和泉３丁目,2018-06-09,16,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,泉,緑園都市駅前,141160,神奈川県,横浜市泉区,新橋町,2018-02-28,18,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,泉,緑園都市駅前,141160,神奈川県,横浜市泉区,新橋町,2018-05-31,18,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,泉,緑園都市駅前,141160,神奈川県,横浜市泉区,新橋町,2018-06-17,19,駐車（輪）場,その他
窃盗,部品ねらい,泉,緑園都市駅前,141160,神奈川県,横浜市泉区,緑園３丁目,2018-02-09,15,駐車（輪）場,その他
窃盗,部品ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2018-01-01,00,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2018-04-10,17,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2018-04-25,19,一戸建住宅,ナンバープレート
窃盗,部品ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2018-05-25,16,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2018-06-25,20,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2018-07-05,11,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2018-10-10,15,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,和泉町,2018-11-24,18,駐車（輪）場,その他
窃盗,部品ねらい,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,上飯田町,2018-05-15,05,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,岡津町,2018-10-30,20,その他,その他
窃盗,部品ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,弥生台,2018-06-15,23,４階建て以上共同住宅,その他
窃盗,部品ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,弥生台,2018-06-23,22,４階建て以上共同住宅,その他
窃盗,部品ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,西が岡１丁目,2018-08-24,07,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,領家４丁目,2018-05-07,21,駐車（輪）場,カーナビ
窃盗,部品ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,桂坂,2018-02-13,01,駐車（輪）場,その他
窃盗,部品ねらい,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2018-05-02,10,道路上,ナンバープレート
窃盗,部品ねらい,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2018-05-25,19,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2018-07-07,20,一戸建住宅,ナンバープレート
窃盗,部品ねらい,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2018-07-16,17,道路上,その他
窃盗,部品ねらい,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2018-07-30,22,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2018-12-13,16,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,戸塚,踊場,141101,神奈川県,横浜市戸塚区,戸塚町,2018-02-20,15,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,戸塚,踊場,141101,神奈川県,横浜市戸塚区,戸塚町,2018-02-21,14,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,戸塚,踊場,141101,神奈川県,横浜市戸塚区,戸塚町,2018-09-07,19,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,戸塚,踊場,141101,神奈川県,横浜市戸塚区,鳥が丘,2018-02-22,19,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,戸塚,踊場,141101,神奈川県,横浜市戸塚区,鳥が丘,2018-06-23,22,一戸建住宅,その他
窃盗,部品ねらい,戸塚,踊場,141101,神奈川県,横浜市戸塚区,矢部町,2018-05-01,12,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,戸塚,踊場,141101,神奈川県,横浜市戸塚区,矢部町,2018-05-30,20,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,戸塚,踊場,141101,神奈川県,横浜市戸塚区,矢部町,2018-07-13,21,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,戸塚,踊場,141101,神奈川県,横浜市戸塚区,汲沢１丁目,2018-07-31,09,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,戸塚,不動坂,141101,神奈川県,横浜市戸塚区,柏尾町,2018-09-15,21,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,戸塚,不動坂,141101,神奈川県,横浜市戸塚区,吉田町,2018-10-28,16,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,影取町,2018-06-15,08,その他,ナンバープレート
窃盗,部品ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,深谷町,2018-03-12,21,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,俣野町,2018-05-23,15,その他,ナンバープレート
窃盗,部品ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,原宿２丁目,2018-03-15,20,道路上,ナンバープレート
窃盗,部品ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,原宿３丁目,2018-05-15,10,駐車（輪）場,その他
窃盗,部品ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,原宿４丁目,2018-02-18,20,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,原宿５丁目,2018-04-22,09,一戸建住宅,ナンバープレート
窃盗,部品ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,原宿５丁目,2018-06-25,21,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,戸塚,柏尾,141101,神奈川県,横浜市戸塚区,名瀬町,2018-01-12,19,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,戸塚,柏尾,141101,神奈川県,横浜市戸塚区,前田町,2018-04-23,19,その他,ナンバープレート
窃盗,部品ねらい,戸塚,平戸,141101,神奈川県,横浜市戸塚区,平戸３丁目,2017-12-30,17,一戸建住宅,ナンバープレート
窃盗,部品ねらい,戸塚,平戸,141101,神奈川県,横浜市戸塚区,平戸３丁目,2018-02-03,15,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,戸塚,上矢部,141101,神奈川県,横浜市戸塚区,上矢部町,2018-07-25,18,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,戸塚,上矢部,141101,神奈川県,横浜市戸塚区,名瀬町,2018-06-17,15,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,戸塚,深谷,141101,神奈川県,横浜市戸塚区,,2018-07-20,20,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,戸塚,深谷,141101,神奈川県,横浜市戸塚区,深谷町,2018-06-29,20,駐車（輪）場,その他
窃盗,部品ねらい,戸塚,深谷,141101,神奈川県,横浜市戸塚区,深谷町,2018-09-09,20,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,戸塚,深谷,141101,神奈川県,横浜市戸塚区,俣野町,2018-06-16,22,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,戸塚,東戸塚駅前,141101,神奈川県,横浜市戸塚区,川上町,2018-02-13,09,駐車（輪）場,その他
窃盗,部品ねらい,戸塚,東戸塚駅前,141101,神奈川県,横浜市戸塚区,川上町,2018-06-29,22,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,戸塚,東戸塚駅前,141101,神奈川県,横浜市戸塚区,品濃町,2018-06-21,07,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,戸塚,東戸塚駅前,141101,神奈川県,横浜市戸塚区,品濃町,2018-06-21,19,その他,ナンバープレート
窃盗,部品ねらい,戸塚,舞岡,141101,神奈川県,横浜市戸塚区,舞岡町,2018-04-21,16,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,戸塚,下倉田,141101,神奈川県,横浜市戸塚区,下倉田町,2018-05-06,18,道路上,ナンバープレート
窃盗,部品ねらい,戸塚,下倉田,141101,神奈川県,横浜市戸塚区,下倉田町,2018-05-15,21,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,戸塚,下倉田,141101,神奈川県,横浜市戸塚区,下倉田町,2018-06-21,00,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,戸塚,下倉田,141101,神奈川県,横浜市戸塚区,下倉田町,2018-11-30,10,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,戸塚,戸塚駅東口,141101,神奈川県,横浜市戸塚区,矢部町,2018-01-11,21,駐車（輪）場,ナンバープレート
