罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金以外の主な被害品
窃盗,部品ねらい,南,中村橋,141054,神奈川県,横浜市南区,中村町４丁目,2023/10/5,17,その他,その他,その他
窃盗,部品ねらい,南,中村橋,141054,神奈川県,横浜市南区,睦町１丁目,2023/4/18,8,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷下町,2023/4/2,18,４階建て以上共同住宅,その他,ナンバープレート
窃盗,部品ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷下町,2023/4/4,23,４階建て以上共同住宅,その他,その他
窃盗,部品ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷下町,2023/10/12,7,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,南,八幡町,141054,神奈川県,横浜市南区,中村町１丁目,2023/2/14,23,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,八幡町,141054,神奈川県,横浜市南区,平楽,2023/6/24,10,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,六ツ川,141054,神奈川県,横浜市南区,永田山王台,2023/6/11,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,別所町,141054,神奈川県,横浜市南区,別所６丁目,2023/4/9,15,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,別所町,141054,神奈川県,横浜市南区,別所中里台,2023/4/22,4,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,南太田,141054,神奈川県,横浜市南区,清水ケ丘,2023/6/19,1,道路上,その他,ナンバープレート
窃盗,部品ねらい,南,南太田,141054,神奈川県,横浜市南区,清水ケ丘,2023/9/27,17,その他,駐車（輪）場,その他
窃盗,部品ねらい,南,南太田,141054,神奈川県,横浜市南区,南太田４丁目,2023/4/28,9,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,白金町１丁目,2023/7/15,20,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,新川町４丁目,2023/12/25,17,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,日枝町１丁目,2023/11/16,12,その他の住宅（３階建て以下共同住宅等）,その他,その他
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,南吉田町２丁目,2023/7/14,13,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川３丁目,2023/1/3,20,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,榎町２丁目,2023/8/5,21,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,蒔田町,2023/9/10,17,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,南,浦舟町,141054,神奈川県,横浜市南区,永楽町１丁目,2021/8/15,18,一戸建住宅,その他,ナンバープレート
窃盗,部品ねらい,南,浦舟町,141054,神奈川県,横浜市南区,永楽町１丁目,2023/12/2,16,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,南,浦舟町,141054,神奈川県,横浜市南区,永楽町２丁目,不明,不明,道路上,その他,ナンバープレート
窃盗,部品ねらい,南,浦舟町,141054,神奈川県,横浜市南区,白妙町４丁目,2023/4/2,17,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,南,通町,141054,神奈川県,横浜市南区,弘明寺町,2023/4/14,5,その他,駐車（輪）場,その他
窃盗,部品ねらい,南,通町,141054,神奈川県,横浜市南区,弘明寺町,2023/8/19,21,その他,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,通町,141054,神奈川県,横浜市南区,宿町２丁目,2023/7/12,17,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,通町,141054,神奈川県,横浜市南区,宿町３丁目,2023/6/11,14,その他,駐車（輪）場,その他
窃盗,部品ねらい,南,通町,141054,神奈川県,横浜市南区,中島町４丁目,2023/5/22,15,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,南,通町,141054,神奈川県,横浜市南区,宮元町２丁目,2023/4/10,16,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,南,通町,141054,神奈川県,横浜市南区,宮元町４丁目,2023/4/12,7,その他,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大和,つきみ野駅前,142131,神奈川県,大和市,つきみ野２丁目,2023/5/28,19,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,つきみ野駅前,142131,神奈川県,大和市,つきみ野４丁目,2023/1/3,23,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,つきみ野駅前,142131,神奈川県,大和市,つきみ野５丁目,2023/5/25,19,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,上土棚,142182,神奈川県,綾瀬市,上土棚南１丁目,2023/2/6,0,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,上土棚,142182,神奈川県,綾瀬市,上土棚南１丁目,2023/10/1,14,駐車（輪）場,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大和,上土棚,142182,神奈川県,綾瀬市,上土棚南５丁目,2023/9/29,13,駐車（輪）場,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大和,上土棚,142182,神奈川県,綾瀬市,上土棚中２丁目,2023/9/30,11,駐車（輪）場,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大和,上土棚,142182,神奈川県,綾瀬市,上土棚中４丁目,2023/9/2,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大和,上土棚,142182,神奈川県,綾瀬市,上土棚中７丁目,2023/5/2,14,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,上土棚,142182,神奈川県,綾瀬市,上土棚中７丁目,2023/6/15,9,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,上土棚,142182,神奈川県,綾瀬市,上土棚中７丁目,2023/8/15,15,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,上土棚,142182,神奈川県,綾瀬市,上土棚中７丁目,2023/10/2,12,４階建て以上共同住宅,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大和,上土棚,142182,神奈川県,綾瀬市,落合南２丁目,2023/6/17,12,駐車（輪）場,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大和,上土棚,142182,神奈川県,綾瀬市,落合南４丁目,2023/1/20,21,４階建て以上共同住宅,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大和,上土棚,142182,神奈川県,綾瀬市,落合南６丁目,2023/10/1,18,駐車（輪）場,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大和,上土棚,142182,神奈川県,綾瀬市,落合南９丁目,2023/2/9,17,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,下鶴間,142131,神奈川県,大和市,下鶴間,2023/2/5,15,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,下鶴間,142131,神奈川県,大和市,下鶴間,2023/2/10,18,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,中央林間,142131,神奈川県,大和市,中央林間３丁目,2023/6/23,11,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,大和,中央林間,142131,神奈川県,大和市,中央林間６丁目,2022/9/28,19,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,中央林間,142131,神奈川県,大和市,中央林間８丁目,2023/1/20,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,南林間駅前,142131,神奈川県,大和市,南林間２丁目,2023/10/20,18,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,大和,南林間駅前,142131,神奈川県,大和市,南林間４丁目,2023/6/12,8,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,南林間駅前,142131,神奈川県,大和市,南林間４丁目,2023/11/23,18,４階建て以上共同住宅,その他,その他
窃盗,部品ねらい,大和,南林間駅前,142131,神奈川県,大和市,南林間６丁目,2023/10/20,18,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,大和,南林間駅前,142131,神奈川県,大和市,南林間７丁目,2023/3/20,13,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,大和,南林間駅前,142131,神奈川県,大和市,林間１丁目,2023/4/24,9,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,上草柳２丁目,2023/10/18,5,一戸建住宅,その他,その他
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,下草柳,2023/11/19,18,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,中央１丁目,2023/6/14,18,その他,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,中央４丁目,2023/2/8,12,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,中央４丁目,2023/10/14,18,その他,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,中央７丁目,2023/5/20,16,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,中央７丁目,2023/11/22,0,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,深見,2023/2/23,17,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,深見,2023/5/27,9,一戸建住宅,その他,タイヤ・ホイール
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,深見台４丁目,2023/5/26,15,その他,駐車（輪）場,その他
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,柳橋１丁目,2023/4/1,21,駐車（輪）場,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,柳橋１丁目,2023/5/11,15,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,柳橋１丁目,2023/10/30,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,大和東２丁目,2023/11/13,20,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,大和南１丁目,2023/2/23,12,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,大和南１丁目,2023/3/1,23,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,大和南１丁目,2023/5/3,20,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,大和南２丁目,2023/8/10,20,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,大和,寺尾,142182,神奈川県,綾瀬市,大上４丁目,2023/10/16,19,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,大和,寺尾,142182,神奈川県,綾瀬市,寺尾釜田１丁目,2023/8/20,13,その他,駐車（輪）場,その他
窃盗,部品ねらい,大和,寺尾,142182,神奈川県,綾瀬市,寺尾中４丁目,2023/8/20,2,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,寺尾,142182,神奈川県,綾瀬市,寺尾西１丁目,2023/2/24,19,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,寺尾,142182,神奈川県,綾瀬市,寺尾南２丁目,2023/5/25,19,駐車（輪）場,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大和,寺尾,142182,神奈川県,綾瀬市,寺尾本町１丁目,不明,不明,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,寺尾,142182,神奈川県,綾瀬市,寺尾本町１丁目,不明,不明,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,寺尾,142182,神奈川県,綾瀬市,寺尾本町２丁目,2023/6/16,12,道路上,その他,ナンバープレート
窃盗,部品ねらい,大和,寺尾,142182,神奈川県,綾瀬市,寺尾本町２丁目,2023/11/17,19,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,上和田,2022/12/28,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,上和田,2023/5/1,0,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,福田３丁目,2023/8/19,17,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,大和,深谷,142182,神奈川県,綾瀬市,落合北４丁目,2023/4/20,13,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,深谷,142182,神奈川県,綾瀬市,落合北５丁目,2023/9/13,19,駐車（輪）場,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大和,深谷,142182,神奈川県,綾瀬市,深谷中１丁目,2023/8/31,7,その他,駐車（輪）場,その他
窃盗,部品ねらい,大和,深谷,142182,神奈川県,綾瀬市,深谷中３丁目,2023/7/2,16,一戸建住宅,その他,ナンバープレート
窃盗,部品ねらい,大和,深谷,142182,神奈川県,綾瀬市,深谷中３丁目,2023/8/4,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,深谷,142182,神奈川県,綾瀬市,深谷中６丁目,2023/2/18,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,深谷,142182,神奈川県,綾瀬市,深谷南４丁目,2023/10/1,18,駐車（輪）場,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大和,深谷,142182,神奈川県,綾瀬市,深谷上２丁目,2023/10/9,7,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳,2023/3/16,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳４丁目,2023/12/9,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳５丁目,2023/8/1,7,その他,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳６丁目,2023/2/24,19,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳６丁目,2023/10/10,19,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,桜森３丁目,2023/10/17,23,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,大和,相模大塚駅前,142182,神奈川県,綾瀬市,大上９丁目,2023/1/26,8,駐車（輪）場,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,上和田,2023/3/12,15,その他,その他,ナンバープレート
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,上和田,2023/5/30,15,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,下和田,2023/4/20,19,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,下和田,2023/10/27,13,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,福田,2022/12/26,11,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,渋谷１丁目,2023/2/26,21,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,渋谷２丁目,2023/3/10,18,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,渋谷３丁目,2023/9/24,14,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,渋谷５丁目,2023/10/1,8,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大和,綾瀬地区,142182,神奈川県,綾瀬市,早川,2023/1/28,15,一戸建住宅,その他,ナンバープレート
窃盗,部品ねらい,大和,綾瀬地区,142182,神奈川県,綾瀬市,早川,2023/2/5,15,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,綾瀬地区,142182,神奈川県,綾瀬市,早川,2023/3/21,8,その他,その他,ナンバープレート
窃盗,部品ねらい,大和,綾瀬地区,142182,神奈川県,綾瀬市,早川,2023/4/3,18,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,綾瀬地区,142182,神奈川県,綾瀬市,早川,2023/5/16,18,駐車（輪）場,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大和,綾瀬地区,142182,神奈川県,綾瀬市,吉岡,2023/6/26,18,駐車（輪）場,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大和,綾瀬地区,142182,神奈川県,綾瀬市,綾西２丁目,2023/1/4,8,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,綾瀬地区,142182,神奈川県,綾瀬市,早川城山３丁目,2023/9/29,20,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間１丁目,2023/5/1,16,その他,駐車（輪）場,その他
窃盗,部品ねらい,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間１丁目,2023/6/12,21,その他,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間１丁目,2023/11/12,10,その他,駐車（輪）場,その他
窃盗,部品ねらい,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間２丁目,2023/4/13,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間２丁目,2023/4/21,17,その他,駐車（輪）場,その他
窃盗,部品ねらい,大和,鶴間駅前,142131,神奈川県,大和市,鶴間１丁目,2023/4/23,17,４階建て以上共同住宅,駐車（輪）場,その他
