罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,現金被害の有無
窃盗,車上ねらい,南,八幡町,141054,神奈川県,横浜市南区,中村町１丁目,2022-08-04,15,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,八幡町,141054,神奈川県,横浜市南区,中村町１丁目,2022-09-13,12,道路上,その他,施錠せず,なし
窃盗,車上ねらい,南,六ツ川,141054,神奈川県,横浜市南区,永田山王台,2022-10-25,10,その他,その他,施錠せず,あり
窃盗,車上ねらい,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川１丁目,2022-05-14,17,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,別所町,141054,神奈川県,横浜市南区,中里４丁目,2022-11-12,07,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,南,南太田,141054,神奈川県,横浜市南区,清水ケ丘,2022-08-16,23,一戸建住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,南,大岡町,141054,神奈川県,横浜市南区,大岡４丁目,2022-07-19,10,道路上,その他,施錠せず,あり
窃盗,車上ねらい,南,大池,141054,神奈川県,横浜市南区,永田みなみ台,2022-05-09,19,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川３丁目,2022-03-12,17,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,永田,141054,神奈川県,横浜市南区,永田北２丁目,2022-03-31,18,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,永田,141054,神奈川県,横浜市南区,永田東２丁目,2022-11-07,19,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,南,浦舟町,141054,神奈川県,横浜市南区,浦舟町１丁目,2022-10-06,13,その他,その他,施錠せず,あり
窃盗,車上ねらい,南,浦舟町,141054,神奈川県,横浜市南区,永楽町１丁目,2022-08-17,08,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,南,浦舟町,141054,神奈川県,横浜市南区,真金町１丁目,2022-10-07,21,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,南,通町,141054,神奈川県,横浜市南区,大岡１丁目,2022-05-13,08,道路上,その他,施錠せず,あり
窃盗,車上ねらい,南,通町,141054,神奈川県,横浜市南区,宿町３丁目,2022-06-18,19,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,南,通町,141054,神奈川県,横浜市南区,宿町４丁目,2022-10-18,04,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,大和,つきみ野駅前,142131,神奈川県,大和市,下鶴間,2022-08-27,18,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,大和,上土棚,142182,神奈川県,綾瀬市,上土棚北４丁目,2022-03-26,02,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,中央林間,142131,神奈川県,大和市,中央林間１丁目,2022-10-04,17,その他,その他,施錠せず,あり
窃盗,車上ねらい,大和,中央林間,142131,神奈川県,大和市,中央林間３丁目,2022-01-28,16,道路上,その他,施錠せず,あり
窃盗,車上ねらい,大和,中央林間,142131,神奈川県,大和市,中央林間５丁目,2022-12-01,09,道路上,その他,施錠せず,あり
窃盗,車上ねらい,大和,中央林間,142131,神奈川県,大和市,中央林間西３丁目,2022-07-03,18,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,大和,南林間駅前,142131,神奈川県,大和市,南林間４丁目,不明,不明,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,南林間駅前,142131,神奈川県,大和市,南林間６丁目,2022-03-17,14,道路上,その他,施錠せず,あり
窃盗,車上ねらい,大和,南林間駅前,142131,神奈川県,大和市,南林間７丁目,2022-12-24,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,大和,南林間駅前,142131,神奈川県,大和市,林間１丁目,2022-07-12,13,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,大和駅前,142131,神奈川県,大和市,草柳２丁目,2022-06-15,13,道路上,その他,施錠せず,あり
