罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,現金被害の有無
窃盗,車上ねらい,加賀町,本町,141046,神奈川県,横浜市中区,弁天通３丁目,20241017,13,道路上,その他,施錠せず,あり
窃盗,車上ねらい,加賀町,山下町,141046,神奈川県,横浜市中区,山下町,20240118,11,道路上,その他,施錠せず,あり
窃盗,車上ねらい,加賀町,山下町,141046,神奈川県,横浜市中区,山下町,20240915,7,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,山手,見晴通,141046,神奈川県,横浜市中区,北方町１丁目,20240413,10,道路上,その他,施錠せず,あり
窃盗,車上ねらい,山手,本牧三之谷,141046,神奈川県,横浜市中区,本牧原,20240518,18,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,山手,根岸,141046,神奈川県,横浜市中区,本牧間門,20240220,20,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,山手,山手駅前,141046,神奈川県,横浜市中区,大和町２丁目,20240102,9,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,山手,港の見える丘公園前,141046,神奈川県,横浜市中区,上野町１丁目,20240201,19,道路上,その他,施錠せず,あり
窃盗,車上ねらい,山手,本牧ふ頭,141046,神奈川県,横浜市中区,小港町２丁目,20240730,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,山手,本牧ふ頭,141046,神奈川県,横浜市中区,本牧ふ頭,20231203,17,その他,その他,施錠せず,あり
窃盗,車上ねらい,磯子,根岸駅前,141071,神奈川県,横浜市磯子区,下町,20240124,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,磯子,根岸駅前,141071,神奈川県,横浜市磯子区,西町,20240213,12,道路上,その他,施錠せず,あり
窃盗,車上ねらい,磯子,根岸駅前,141071,神奈川県,横浜市磯子区,馬場町,20241104,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,磯子,丸山,141071,神奈川県,横浜市磯子区,滝頭２丁目,20240117,8,道路上,その他,施錠せず,あり
窃盗,車上ねらい,磯子,丸山,141071,神奈川県,横浜市磯子区,滝頭２丁目,20240923,15,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,磯子,丸山,141071,神奈川県,横浜市磯子区,滝頭３丁目,20240727,13,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,磯子,丸山,141071,神奈川県,横浜市磯子区,久木町,20240126,23,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,磯子,丸山,141071,神奈川県,横浜市磯子区,久木町,20241127,16,道路上,その他,施錠せず,なし
窃盗,車上ねらい,磯子,岡村,141071,神奈川県,横浜市磯子区,岡村１丁目,20240104,19,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,磯子,岡村,141071,神奈川県,横浜市磯子区,岡村１丁目,20240822,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,磯子,岡村,141071,神奈川県,横浜市磯子区,岡村１丁目,20240922,14,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,磯子,岡村,141071,神奈川県,横浜市磯子区,岡村３丁目,20240413,22,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,磯子,岡村,141071,神奈川県,横浜市磯子区,岡村３丁目,20240521,21,その他,その他,施錠せず,あり
窃盗,車上ねらい,磯子,森,141071,神奈川県,横浜市磯子区,中原３丁目,20240327,16,その他,その他,施錠せず,あり
窃盗,車上ねらい,磯子,杉田,141071,神奈川県,横浜市磯子区,杉田６丁目,20240417,1,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,磯子,杉田,141071,神奈川県,横浜市磯子区,中原４丁目,20240406,8,道路上,その他,施錠せず,あり
窃盗,車上ねらい,磯子,洋光台,141071,神奈川県,横浜市磯子区,洋光台２丁目,20240423,14,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,磯子,洋光台,141071,神奈川県,横浜市磯子区,洋光台６丁目,20240708,22,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,磯子,上中里,141071,神奈川県,横浜市磯子区,上中里町,20240311,10,その他,その他,施錠した,なし
窃盗,車上ねらい,磯子,上中里,141071,神奈川県,横浜市磯子区,栗木２丁目,20231228,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,磯子,磯子駅前,141071,神奈川県,横浜市磯子区,磯子４丁目,20241104,13,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,金沢,金沢文庫駅前,141089,神奈川県,横浜市金沢区,谷津町,20240329,20,一戸建住宅,その他,施錠せず,あり
窃盗,車上ねらい,金沢,金沢文庫駅前,141089,神奈川県,横浜市金沢区,谷津町,20240625,13,４階建て以上共同住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,金沢,洲崎,141089,神奈川県,横浜市金沢区,洲崎町,20240504,23,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,金沢,六浦,141089,神奈川県,横浜市金沢区,瀬戸,20240504,15,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,金沢,六浦,141089,神奈川県,横浜市金沢区,六浦４丁目,20240827,19,一戸建住宅,その他,施錠した,あり
窃盗,車上ねらい,金沢,六浦,141089,神奈川県,横浜市金沢区,六浦４丁目,20241016,20,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,金沢,六浦川,141089,神奈川県,横浜市金沢区,六浦東３丁目,20240316,11,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,金沢,六浦川,141089,神奈川県,横浜市金沢区,六浦南１丁目,20231229,23,駐車（輪）場,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,金沢,大道,141089,神奈川県,横浜市金沢区,高舟台２丁目,20240327,17,一戸建住宅,その他,施錠せず,あり
窃盗,車上ねらい,金沢,釜利谷,141089,神奈川県,横浜市金沢区,釜利谷東４丁目,20241019,15,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,共進町１丁目,20240209,20,一戸建住宅,その他,施錠した,なし
窃盗,車上ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町２丁目,20240331,12,道路上,その他,施錠せず,なし
窃盗,車上ねらい,南,中村橋,141054,神奈川県,横浜市南区,山谷,20240523,14,道路上,その他,施錠せず,なし
窃盗,車上ねらい,南,中村橋,141054,神奈川県,横浜市南区,中村町４丁目,20240209,22,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,南,中村橋,141054,神奈川県,横浜市南区,中村町４丁目,20240209,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,中村橋,141054,神奈川県,横浜市南区,睦町１丁目,20240209,14,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,八幡町,141054,神奈川県,横浜市南区,中村町１丁目,20240208,16,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,八幡町,141054,神奈川県,横浜市南区,八幡町,20240209,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,吉野町,141054,神奈川県,横浜市南区,高砂町３丁目,20240209,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,南太田,141054,神奈川県,横浜市南区,清水ケ丘,20240606,10,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,南,南太田,141054,神奈川県,横浜市南区,南太田２丁目,20240726,0,道路上,その他,施錠せず,あり
窃盗,車上ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,永田東１丁目,20240904,19,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
