罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,現金被害の有無
窃盗,車上ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,永田南１丁目,20241001,3,その他の住宅（３階建て以下共同住宅等）,その他,施錠せず,あり
窃盗,車上ねらい,南,別所町,141054,神奈川県,横浜市南区,中里４丁目,20240401,9,道路上,その他,施錠せず,あり
窃盗,車上ねらい,南,別所町,141054,神奈川県,横浜市南区,中里４丁目,20240622,8,道路上,その他,施錠せず,あり
窃盗,車上ねらい,南,別所町,141054,神奈川県,横浜市南区,中里４丁目,20240709,13,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川３丁目,20240716,3,道路上,その他,施錠せず,あり
窃盗,車上ねらい,南,通町,141054,神奈川県,横浜市南区,大岡１丁目,20240123,11,道路上,その他,施錠せず,あり
窃盗,車上ねらい,南,通町,141054,神奈川県,横浜市南区,大岡１丁目,20240226,9,４階建て以上共同住宅,その他,施錠せず,あり
窃盗,車上ねらい,南,通町,141054,神奈川県,横浜市南区,弘明寺町,20240515,13,その他,その他,施錠せず,あり
窃盗,車上ねらい,南,通町,141054,神奈川県,横浜市南区,宿町１丁目,20240818,14,道路上,その他,施錠せず,あり
窃盗,車上ねらい,南,通町,141054,神奈川県,横浜市南区,花之木町３丁目,20240828,13,道路上,その他,施錠せず,あり
窃盗,車上ねらい,南,通町,141054,神奈川県,横浜市南区,花之木町３丁目,20240828,20,道路上,その他,施錠せず,あり
窃盗,車上ねらい,南,通町,141054,神奈川県,横浜市南区,宮元町２丁目,20241019,17,道路上,その他,施錠せず,あり
窃盗,車上ねらい,南,通町,141054,神奈川県,横浜市南区,宮元町３丁目,20240515,16,道路上,その他,施錠した,あり
窃盗,車上ねらい,南,通町,141054,神奈川県,横浜市南区,若宮町４丁目,20240614,16,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,南,浦舟町,141054,神奈川県,横浜市南区,永楽町２丁目,20240407,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,浦舟町,141054,神奈川県,横浜市南区,白妙町１丁目,20240209,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,浦舟町,141054,神奈川県,横浜市南区,高根町２丁目,20240331,18,道路上,その他,施錠せず,なし
窃盗,車上ねらい,南,浦舟町,141054,神奈川県,横浜市南区,真金町１丁目,20241022,16,道路上,その他,施錠せず,あり
窃盗,車上ねらい,南,浦舟町,141054,神奈川県,横浜市南区,真金町２丁目,20240405,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,伊勢佐木,伊勢佐木町,141046,神奈川県,横浜市中区,曙町２丁目,20240901,5,道路上,その他,施錠せず,なし
窃盗,車上ねらい,伊勢佐木,伊勢佐木町,141046,神奈川県,横浜市中区,伊勢佐木町３丁目,20240429,17,道路上,その他,施錠せず,なし
窃盗,車上ねらい,伊勢佐木,横浜橋,141046,神奈川県,横浜市中区,曙町３丁目,20240407,15,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,伊勢佐木,横浜橋,141046,神奈川県,横浜市中区,曙町３丁目,20240905,7,道路上,その他,施錠せず,あり
窃盗,車上ねらい,伊勢佐木,横浜橋,141046,神奈川県,横浜市中区,伊勢佐木町７丁目,20240120,3,道路上,その他,施錠せず,なし
窃盗,車上ねらい,伊勢佐木,横浜橋,141046,神奈川県,横浜市中区,弥生町３丁目,20240313,3,道路上,その他,施錠せず,あり
窃盗,車上ねらい,伊勢佐木,横浜橋,141046,神奈川県,横浜市中区,弥生町３丁目,20240728,2,道路上,その他,施錠せず,あり
窃盗,車上ねらい,伊勢佐木,寿町,141046,神奈川県,横浜市中区,石川町５丁目,20240617,21,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,伊勢佐木,寿町,141046,神奈川県,横浜市中区,打越,20240204,20,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,伊勢佐木,寿町,141046,神奈川県,横浜市中区,打越,20240209,13,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,伊勢佐木,寿町,141046,神奈川県,横浜市中区,三吉町,20240215,23,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,伊勢佐木,寿町,141046,神奈川県,横浜市中区,山田町,20241124,17,道路上,その他,施錠せず,なし
窃盗,車上ねらい,伊勢佐木,吉田橋,141046,神奈川県,横浜市中区,伊勢佐木町２丁目,20240122,9,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,伊勢佐木,吉田橋,141046,神奈川県,横浜市中区,伊勢佐木町２丁目,20240516,18,道路上,その他,施錠せず,なし
窃盗,車上ねらい,伊勢佐木,吉田橋,141046,神奈川県,横浜市中区,長者町８丁目,20231231,7,駐車（輪）場,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,伊勢佐木,吉田橋,141046,神奈川県,横浜市中区,長者町９丁目,20240225,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,伊勢佐木,吉田橋,141046,神奈川県,横浜市中区,福富町西通,20231231,3,駐車（輪）場,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,伊勢佐木,吉田橋,141046,神奈川県,横浜市中区,福富町西通,20240211,0,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,伊勢佐木,都橋,141046,神奈川県,横浜市中区,野毛町２丁目,20240418,10,道路上,その他,施錠せず,あり
窃盗,車上ねらい,伊勢佐木,黄金町,141046,神奈川県,横浜市中区,黄金町２丁目,20240512,22,道路上,その他,施錠せず,あり
窃盗,車上ねらい,戸部,横浜駅相鉄口,141038,神奈川県,横浜市西区,北幸２丁目,20240729,10,その他,その他,施錠せず,あり
窃盗,車上ねらい,戸部,横浜駅相鉄口,141038,神奈川県,横浜市西区,北幸２丁目,20240421,10,その他,その他,施錠せず,なし
窃盗,車上ねらい,戸部,横浜駅相鉄口,141038,神奈川県,横浜市西区,南幸１丁目,20240216,16,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,戸部,横浜駅相鉄口,141038,神奈川県,横浜市西区,南幸１丁目,20240902,10,道路上,その他,施錠せず,あり
窃盗,車上ねらい,戸部,横浜駅相鉄口,141038,神奈川県,横浜市西区,南幸２丁目,20240917,4,道路上,その他,施錠せず,あり
窃盗,車上ねらい,戸部,浅間町,141038,神奈川県,横浜市西区,北軽井沢,20240425,15,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸部,浅間町,141038,神奈川県,横浜市西区,宮ケ谷,20240425,21,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸部,岡野,141038,神奈川県,横浜市西区,岡野１丁目,20240425,23,道路上,その他,施錠せず,あり
窃盗,車上ねらい,戸部,岡野,141038,神奈川県,横浜市西区,岡野１丁目,20241109,1,道路上,その他,施錠せず,あり
窃盗,車上ねらい,戸部,藤棚町,141038,神奈川県,横浜市西区,久保町,20230929,16,道路上,その他,施錠せず,あり
窃盗,車上ねらい,戸部,藤棚町,141038,神奈川県,横浜市西区,久保町,20240617,1,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸部,藤棚町,141038,神奈川県,横浜市西区,東久保町,20240604,8,一戸建住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,戸部,野毛山公園,141038,神奈川県,横浜市西区,老松町,20240506,18,道路上,その他,施錠せず,なし
窃盗,車上ねらい,戸部,伊勢町,141038,神奈川県,横浜市西区,西戸部町２丁目,20230822,10,４階建て以上共同住宅,その他,施錠せず,あり
窃盗,車上ねらい,神奈川,東神奈川駅前,141020,神奈川県,横浜市神奈川区,神奈川２丁目,20240109,17,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,神奈川,東神奈川駅前,141020,神奈川県,横浜市神奈川区,神奈川２丁目,20241207,20,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,神奈川,東神奈川駅前,141020,神奈川県,横浜市神奈川区,新町,20241022,8,その他,その他,施錠した,なし
窃盗,車上ねらい,神奈川,東神奈川駅前,141020,神奈川県,横浜市神奈川区,東神奈川１丁目,20241011,10,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,神奈川,東神奈川駅前,141020,神奈川県,横浜市神奈川区,東神奈川２丁目,20240508,5,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,神奈川,神之木,141020,神奈川県,横浜市神奈川区,神之木町,20240607,21,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,神奈川,神之木,141020,神奈川県,横浜市神奈川区,西寺尾１丁目,20241103,19,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,神奈川,大口駅前,141020,神奈川県,横浜市神奈川区,大口通,20231009,16,道路上,その他,施錠せず,なし
窃盗,車上ねらい,神奈川,大口駅前,141020,神奈川県,横浜市神奈川区,西大口,20240109,17,一戸建住宅,その他,施錠した,なし
窃盗,車上ねらい,神奈川,白幡,141020,神奈川県,横浜市神奈川区,白幡西町,20240109,14,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,神奈川,白幡,141020,神奈川県,横浜市神奈川区,白幡向町,20240813,19,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,神奈川,西神奈川,141020,神奈川県,横浜市神奈川区,西神奈川１丁目,20240110,0,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,神奈川,六角橋,141020,神奈川県,横浜市神奈川区,六角橋２丁目,20240705,14,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,神奈川,六角橋,141020,神奈川県,横浜市神奈川区,六角橋５丁目,20240115,8,その他の住宅（３階建て以下共同住宅等）,その他,施錠せず,あり
窃盗,車上ねらい,神奈川,六角橋,141020,神奈川県,横浜市神奈川区,六角橋５丁目,20241020,15,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,神奈川,六角橋,141020,神奈川県,横浜市神奈川区,六角橋５丁目,20241223,2,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,神奈川,神大寺,141020,神奈川県,横浜市神奈川区,神大寺２丁目,20240507,0,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,神奈川,反町,141020,神奈川県,横浜市神奈川区,反町１丁目,20241012,9,道路上,その他,施錠せず,なし
窃盗,車上ねらい,神奈川,ポートサイド,141020,神奈川県,横浜市神奈川区,山内町,20240213,3,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,神奈川,菅田,141020,神奈川県,横浜市神奈川区,菅田町,20240510,22,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,神奈川,菅田,141020,神奈川県,横浜市神奈川区,菅田町,20240613,17,その他,その他,施錠した,なし
窃盗,車上ねらい,神奈川,菅田,141020,神奈川県,横浜市神奈川区,菅田町,20240829,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,神奈川,羽沢,141020,神奈川県,横浜市神奈川区,三枚町,20240510,13,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,神奈川,羽沢,141020,神奈川県,横浜市神奈川区,羽沢町,20231215,15,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,神奈川,羽沢,141020,神奈川県,横浜市神奈川区,羽沢町,20240709,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,鶴見,鶴見駅前,141011,神奈川県,横浜市鶴見区,鶴見中央１丁目,20240921,13,道路上,その他,施錠せず,なし
窃盗,車上ねらい,鶴見,鶴見駅前,141011,神奈川県,横浜市鶴見区,鶴見中央１丁目,20240517,7,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,鶴見,鶴見駅前,141011,神奈川県,横浜市鶴見区,鶴見中央２丁目,20240414,18,道路上,その他,施錠せず,あり
窃盗,車上ねらい,鶴見,鶴見駅前,141011,神奈川県,横浜市鶴見区,鶴見中央４丁目,20240802,1,駐車（輪）場,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,鶴見,潮田,141011,神奈川県,横浜市鶴見区,大東町,20240218,7,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,鶴見,生麦,141011,神奈川県,横浜市鶴見区,大黒町,20241015,8,駐車（輪）場,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,鶴見,市場,141011,神奈川県,横浜市鶴見区,市場富士見町,20240422,19,道路上,その他,施錠せず,あり
窃盗,車上ねらい,鶴見,市場,141011,神奈川県,横浜市鶴見区,平安町１丁目,20241229,18,道路上,その他,施錠した,なし
窃盗,車上ねらい,鶴見,市場,141011,神奈川県,横浜市鶴見区,平安町２丁目,20241218,19,道路上,その他,施錠した,あり
窃盗,車上ねらい,鶴見,尻手,141011,神奈川県,横浜市鶴見区,尻手１丁目,20240809,13,その他,その他,施錠せず,あり
窃盗,車上ねらい,鶴見,尻手,141011,神奈川県,横浜市鶴見区,元宮１丁目,20241103,11,道路上,その他,施錠せず,あり
窃盗,車上ねらい,鶴見,尻手,141011,神奈川県,横浜市鶴見区,元宮２丁目,20240116,17,その他,その他,施錠せず,あり
窃盗,車上ねらい,鶴見,岸谷,141011,神奈川県,横浜市鶴見区,岸谷３丁目,20240920,19,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,鶴見,岸谷,141011,神奈川県,横浜市鶴見区,岸谷３丁目,20241028,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,鶴見,駒岡,141011,神奈川県,横浜市鶴見区,獅子ケ谷２丁目,20240109,20,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,鶴見,向谷,141011,神奈川県,横浜市鶴見区,馬場２丁目,20241214,7,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,鶴見,向谷,141011,神奈川県,横浜市鶴見区,馬場３丁目,20240921,19,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,鶴見,向谷,141011,神奈川県,横浜市鶴見区,東寺尾２丁目,20240703,11,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,保土ケ谷,岩間町,141062,神奈川県,横浜市保土ケ谷区,西久保町,20240201,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,保土ケ谷,岩間町,141062,神奈川県,横浜市保土ケ谷区,保土ケ谷町１丁目,20240715,9,道路上,その他,施錠せず,あり
窃盗,車上ねらい,保土ケ谷,岩間町,141062,神奈川県,横浜市保土ケ谷区,保土ケ谷町２丁目,20240201,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,保土ケ谷,宮田町,141062,神奈川県,横浜市保土ケ谷区,峰岡町１丁目,20240124,21,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,保土ケ谷,和田町,141062,神奈川県,横浜市保土ケ谷区,常盤台,20240806,9,道路上,その他,施錠せず,あり
窃盗,車上ねらい,保土ケ谷,星川,141062,神奈川県,横浜市保土ケ谷区,川辺町,20241129,9,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,保土ケ谷,星川,141062,神奈川県,横浜市保土ケ谷区,神戸町,20240201,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,保土ケ谷,星川,141062,神奈川県,横浜市保土ケ谷区,峰岡町１丁目,20240425,21,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,保土ケ谷,星川,141062,神奈川県,横浜市保土ケ谷区,明神台,20240730,12,４階建て以上共同住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,保土ケ谷,両郡橋,141062,神奈川県,横浜市保土ケ谷区,川島町,20241026,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,保土ケ谷,西谷,141062,神奈川県,横浜市保土ケ谷区,上菅田町,20240417,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,保土ケ谷,西谷,141062,神奈川県,横浜市保土ケ谷区,東川島町,20240425,20,道路上,その他,施錠した,なし
窃盗,車上ねらい,保土ケ谷,岡沢町,141062,神奈川県,横浜市保土ケ谷区,岡沢町,20240124,17,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,保土ケ谷,岡沢町,141062,神奈川県,横浜市保土ケ谷区,常盤台,20240122,21,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,保土ケ谷,岡沢町,141062,神奈川県,横浜市保土ケ谷区,常盤台,20240425,22,道路上,その他,施錠せず,なし
窃盗,車上ねらい,保土ケ谷,岡沢町,141062,神奈川県,横浜市保土ケ谷区,峰沢町,20240418,20,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,保土ケ谷,花見台,141062,神奈川県,横浜市保土ケ谷区,初音ケ丘,20241117,22,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,保土ケ谷,上菅田,141062,神奈川県,横浜市保土ケ谷区,上菅田町,20240106,18,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,保土ケ谷,上菅田,141062,神奈川県,横浜市保土ケ谷区,上菅田町,20241118,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,保土ケ谷,上菅田,141062,神奈川県,横浜市保土ケ谷区,上菅田町,20241118,20,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,保土ケ谷,川島町,141062,神奈川県,横浜市保土ケ谷区,川島町,20240628,10,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,保土ケ谷,川島町,141062,神奈川県,横浜市保土ケ谷区,川島町,20240713,13,一戸建住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,保土ケ谷,新桜ヶ丘,141062,神奈川県,横浜市保土ケ谷区,新桜ケ丘２丁目,20240206,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,港南,,142158,神奈川県,海老名市,河原口４丁目,20230923,15,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,港南,上大岡駅前,141119,神奈川県,横浜市港南区,上大岡西２丁目,20241116,10,道路上,その他,施錠せず,あり
窃盗,車上ねらい,港南,上大岡駅前,141119,神奈川県,横浜市港南区,上大岡西３丁目,20241116,9,４階建て以上共同住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,港南,上大岡駅前,141119,神奈川県,横浜市港南区,最戸１丁目,20240820,8,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,港南,上大岡駅前,141119,神奈川県,横浜市港南区,最戸２丁目,20240325,15,道路上,その他,施錠せず,なし
窃盗,車上ねらい,港南,日野,141119,神奈川県,横浜市港南区,日野２丁目,20240726,13,道路上,その他,施錠せず,あり
窃盗,車上ねらい,港南,日野,141119,神奈川県,横浜市港南区,日野２丁目,20240829,8,その他,その他,施錠せず,なし
窃盗,車上ねらい,港南,日野,141119,神奈川県,横浜市港南区,日野５丁目,20240206,16,一戸建住宅,駐車（輪）場,施錠した,あり
