罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金被害の有無
窃盗,自動販売機ねらい,南,南太田,141054,神奈川県,横浜市南区,清水ケ丘,2021-12-02,04,その他,その他,なし
窃盗,自動販売機ねらい,南,吉野町,141054,神奈川県,横浜市南区,前里町１丁目,2022-08-15,01,その他,その他,あり
窃盗,自動販売機ねらい,南,通町,141054,神奈川県,横浜市南区,宿町１丁目,2022-10-03,12,その他,その他,あり
窃盗,自動販売機ねらい,大和,つきみ野駅前,142131,神奈川県,大和市,つきみ野１丁目,2021-12-28,16,道路上,その他,あり
窃盗,自動販売機ねらい,大和,上土棚,142182,神奈川県,綾瀬市,上土棚北５丁目,2022-10-24,14,その他,駐車（輪）場,あり
窃盗,自動販売機ねらい,大和,上土棚,142182,神奈川県,綾瀬市,上土棚北５丁目,2022-11-24,01,その他,駐車（輪）場,あり
窃盗,自動販売機ねらい,大和,上土棚,142182,神奈川県,綾瀬市,落合南６丁目,2022-11-16,11,道路上,その他,あり
窃盗,自動販売機ねらい,大和,大和駅前,142131,神奈川県,大和市,草柳３丁目,2022-01-17,02,その他,その他,あり
窃盗,自動販売機ねらい,大和,大和駅前,142131,神奈川県,大和市,中央５丁目,2022-11-11,00,その他,その他,あり
窃盗,自動販売機ねらい,大和,大和駅前,142131,神奈川県,大和市,深見,2022-01-17,02,その他,その他,なし
窃盗,自動販売機ねらい,大和,寺尾,142182,神奈川県,綾瀬市,小園,2022-11-03,12,道路上,その他,あり
窃盗,自動販売機ねらい,大和,寺尾,142182,神奈川県,綾瀬市,小園,2022-11-11,18,その他,その他,あり
窃盗,自動販売機ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,柳橋２丁目,2022-12-08,16,その他,その他,なし
窃盗,自動販売機ねらい,大和,深谷,142182,神奈川県,綾瀬市,落合北２丁目,2022-11-16,11,道路上,その他,あり
窃盗,自動販売機ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳３丁目,2022-11-29,16,道路上,その他,あり
窃盗,自動販売機ねらい,大和,福田,142131,神奈川県,大和市,代官３丁目,2022-11-21,10,その他,その他,あり
窃盗,自動販売機ねらい,大和,鶴間駅前,142131,神奈川県,大和市,鶴間２丁目,2022-01-03,14,その他,その他,あり
窃盗,自動販売機ねらい,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間５丁目,2022-05-21,05,その他,その他,なし
窃盗,自動販売機ねらい,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間５丁目,2022-12-28,04,その他,その他,あり
窃盗,自動販売機ねらい,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,和泉町,2022-05-19,14,道路上,その他,あり
窃盗,自動販売機ねらい,戸塚,不動坂,141101,神奈川県,横浜市戸塚区,吉田町,2022-01-30,03,その他,その他,なし
窃盗,自動販売機ねらい,戸塚,東戸塚駅前,141101,神奈川県,横浜市戸塚区,品濃町,2022-02-20,04,その他,その他,あり
窃盗,自動販売機ねらい,戸塚,柏尾,141101,神奈川県,横浜市戸塚区,名瀬町,2022-11-30,08,道路上,その他,あり
窃盗,自動販売機ねらい,旭,二俣川,141127,神奈川県,横浜市旭区,二俣川２丁目,2022-07-26,15,その他,その他,あり
窃盗,自動販売機ねらい,旭,鶴ケ峰,141127,神奈川県,横浜市旭区,四季美台,2022-10-18,12,その他,その他,あり
窃盗,自動販売機ねらい,加賀町,本町,141046,神奈川県,横浜市中区,日本大通,2022-04-01,12,その他,その他,あり
窃盗,自動販売機ねらい,金沢,幸浦,141089,神奈川県,横浜市金沢区,幸浦２丁目,2022-06-17,11,その他,その他,あり
窃盗,自動販売機ねらい,金沢,幸浦,141089,神奈川県,横浜市金沢区,幸浦２丁目,2022-06-20,12,その他,その他,あり
窃盗,自動販売機ねらい,金沢,幸浦,141089,神奈川県,横浜市金沢区,幸浦２丁目,2022-07-13,14,その他,その他,あり
窃盗,自動販売機ねらい,金沢,幸浦,141089,神奈川県,横浜市金沢区,福浦１丁目,2022-07-22,14,その他,その他,あり
窃盗,自動販売機ねらい,金沢,幸浦,141089,神奈川県,横浜市金沢区,福浦２丁目,2022-07-15,10,その他,その他,あり
窃盗,自動販売機ねらい,金沢,洲崎,141089,神奈川県,横浜市金沢区,寺前１丁目,2022-11-08,13,その他,その他,あり
窃盗,自動販売機ねらい,金沢,能見台駅前,141089,神奈川県,横浜市金沢区,能見台通,2022-06-09,08,その他,その他,なし
窃盗,自動販売機ねらい,伊勢佐木,寿町,141046,神奈川県,横浜市中区,扇町４丁目,2022-06-03,17,その他,その他,なし
窃盗,自動販売機ねらい,伊勢佐木,寿町,141046,神奈川県,横浜市中区,寿町３丁目,2022-06-03,17,その他,駐車（輪）場,なし
窃盗,自動販売機ねらい,戸部,横浜駅相鉄口,141038,神奈川県,横浜市西区,南幸１丁目,2022-06-06,10,道路上,その他,あり
窃盗,自動販売機ねらい,戸部,横浜駅相鉄口,141038,神奈川県,横浜市西区,南幸２丁目,2021-12-25,17,その他,その他,あり
窃盗,自動販売機ねらい,神奈川,三ツ沢,141020,神奈川県,横浜市神奈川区,三ツ沢西町,2022-05-01,04,その他,その他,あり
窃盗,自動販売機ねらい,神奈川,六角橋,141020,神奈川県,横浜市神奈川区,西神奈川３丁目,2022-01-29,11,その他,その他,あり
窃盗,自動販売機ねらい,神奈川,反町,141020,神奈川県,横浜市神奈川区,松本町４丁目,2022-05-27,12,その他,その他,あり
窃盗,自動販売機ねらい,神奈川,沢渡,141020,神奈川県,横浜市神奈川区,鶴屋町１丁目,2022-08-20,18,その他,その他,あり
窃盗,自動販売機ねらい,神奈川,神之木,141020,神奈川県,横浜市神奈川区,神之木町,2022-08-17,16,その他,その他,あり
窃盗,自動販売機ねらい,鶴見,駒岡,141011,神奈川県,横浜市鶴見区,駒岡２丁目,2022-10-05,14,その他,その他,あり
窃盗,自動販売機ねらい,保土ケ谷,両郡橋,141062,神奈川県,横浜市保土ケ谷区,仏向町,2022-07-28,11,道路上,その他,あり
窃盗,自動販売機ねらい,保土ケ谷,宮田町,141062,神奈川県,横浜市保土ケ谷区,宮田町３丁目,2022-08-20,18,その他,その他,あり
窃盗,自動販売機ねらい,港南,日野,141119,神奈川県,横浜市港南区,日野７丁目,2022-06-18,18,その他,その他,なし
窃盗,自動販売機ねらい,緑,北八朔町,141135,神奈川県,横浜市緑区,西八朔町,2022-08-03,14,その他,その他,あり
窃盗,自動販売機ねらい,緑,十日市場駅前,141135,神奈川県,横浜市緑区,十日市場町,2022-06-11,18,その他,その他,あり
窃盗,自動販売機ねらい,緑,長津田駅前,141135,神奈川県,横浜市緑区,長津田町,2022-06-29,14,その他,その他,あり
窃盗,自動販売機ねらい,緑,長津田駅前,141135,神奈川県,横浜市緑区,長津田みなみ台５丁目,2022-06-14,20,その他,その他,なし
窃盗,自動販売機ねらい,緑,鴨居駅前,141135,神奈川県,横浜市緑区,白山１丁目,2022-10-01,18,その他,その他,あり
窃盗,自動販売機ねらい,港北,大倉山,141097,神奈川県,横浜市港北区,大倉山１丁目,2022-05-21,18,その他,その他,あり
窃盗,自動販売機ねらい,港北,日吉本町,141097,神奈川県,横浜市港北区,綱島西５丁目,2022-05-26,23,その他,その他,あり
窃盗,自動販売機ねらい,港北,日吉東,141097,神奈川県,横浜市港北区,日吉３丁目,2022-09-03,17,その他,その他,あり
窃盗,自動販売機ねらい,港北,日吉東,141097,神奈川県,横浜市港北区,日吉４丁目,2022-01-23,23,その他,その他,あり
窃盗,自動販売機ねらい,港北,日吉東,141097,神奈川県,横浜市港北区,日吉７丁目,2022-01-20,21,その他,その他,あり
窃盗,自動販売機ねらい,港北,綱島駅前,141097,神奈川県,横浜市港北区,綱島東１丁目,2022-03-06,15,その他,その他,あり
窃盗,自動販売機ねらい,港北,綱島駅前,141097,神奈川県,横浜市港北区,綱島東５丁目,2022-01-20,19,その他,その他,あり
窃盗,自動販売機ねらい,港北,綱島駅前,141097,神奈川県,横浜市港北区,綱島東５丁目,2022-08-26,18,その他,その他,あり
窃盗,自動販売機ねらい,港北,綱島駅前,141097,神奈川県,横浜市港北区,綱島東６丁目,2022-10-29,19,その他,その他,あり
窃盗,自動販売機ねらい,港北,菊名駅前,141097,神奈川県,横浜市港北区,大豆戸町,2022-05-21,20,その他,その他,あり
窃盗,自動販売機ねらい,港北,高田,141097,神奈川県,横浜市港北区,高田町,2022-05-02,17,その他,その他,あり
窃盗,自動販売機ねらい,瀬谷,目黒,141143,神奈川県,横浜市瀬谷区,卸本町,2022-08-15,16,その他,その他,あり
窃盗,自動販売機ねらい,瀬谷,目黒,141143,神奈川県,横浜市瀬谷区,卸本町,2022-08-16,18,その他,その他,あり
窃盗,自動販売機ねらい,青葉,あざみ野駅前,141178,神奈川県,横浜市青葉区,あざみ野１丁目,2022-03-11,21,その他,その他,なし
窃盗,自動販売機ねらい,青葉,市が尾駅前,141178,神奈川県,横浜市青葉区,市ケ尾町,2022-12-28,02,その他,その他,なし
窃盗,自動販売機ねらい,青葉,荏田町,141178,神奈川県,横浜市青葉区,荏田北１丁目,2022-05-28,22,その他,その他,あり
