罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金被害の有無
窃盗,自動販売機ねらい,加賀町,本町,141046,神奈川県,横浜市中区,海岸通５丁目,20241109,19,その他,その他,あり
窃盗,自動販売機ねらい,加賀町,本町,141046,神奈川県,横浜市中区,海岸通５丁目,20241116,17,その他,その他,あり
窃盗,自動販売機ねらい,加賀町,本町,141046,神奈川県,横浜市中区,海岸通５丁目,20241220,18,その他,その他,あり
窃盗,自動販売機ねらい,加賀町,本町,141046,神奈川県,横浜市中区,北仲通６丁目,20241106,21,その他,その他,あり
窃盗,自動販売機ねらい,加賀町,本町,141046,神奈川県,横浜市中区,北仲通６丁目,20241121,23,その他,その他,あり
窃盗,自動販売機ねらい,加賀町,本町,141046,神奈川県,横浜市中区,港町１丁目,20241127,19,その他,その他,あり
窃盗,自動販売機ねらい,山手,見晴通,141046,神奈川県,横浜市中区,本牧町２丁目,20240321,14,道路上,その他,なし
窃盗,自動販売機ねらい,山手,本牧三之谷,141046,神奈川県,横浜市中区,本牧元町,20240429,15,その他,その他,あり
窃盗,自動販売機ねらい,磯子,磯子駅前,141071,神奈川県,横浜市磯子区,磯子１丁目,20240226,13,その他,駐車（輪）場,なし
窃盗,自動販売機ねらい,金沢,金沢文庫駅前,141089,神奈川県,横浜市金沢区,泥亀２丁目,20240824,9,その他,その他,あり
窃盗,自動販売機ねらい,南,南太田,141054,神奈川県,横浜市南区,清水ケ丘,20240822,21,その他,その他,あり
窃盗,自動販売機ねらい,南,南太田,141054,神奈川県,横浜市南区,南太田１丁目,20241224,17,その他,その他,あり
窃盗,自動販売機ねらい,南,永田,141054,神奈川県,横浜市南区,永田北１丁目,20240618,14,駐車（輪）場,駐車（輪）場,なし
窃盗,自動販売機ねらい,伊勢佐木,伊勢佐木町,141046,神奈川県,横浜市中区,若葉町１丁目,20241211,18,その他,その他,あり
窃盗,自動販売機ねらい,戸部,浜松町,141038,神奈川県,横浜市西区,浜松町,20241221,18,その他,その他,あり
窃盗,自動販売機ねらい,戸部,藤棚町,141038,神奈川県,横浜市西区,久保町,20241121,18,その他,その他,あり
窃盗,自動販売機ねらい,戸部,みなとみらい,141038,神奈川県,横浜市西区,みなとみらい５丁目,20241214,6,その他,その他,あり
窃盗,自動販売機ねらい,鶴見,鶴見駅前,141011,神奈川県,横浜市鶴見区,鶴見中央３丁目,20241129,0,その他,その他,あり
窃盗,自動販売機ねらい,鶴見,尻手,141011,神奈川県,横浜市鶴見区,矢向１丁目,20240817,0,その他,その他,なし
窃盗,自動販売機ねらい,鶴見,矢向駅前,141011,神奈川県,横浜市鶴見区,江ケ崎町,20240107,16,その他,その他,あり
