罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金被害の有無
窃盗,自動販売機ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町１丁目,2020-05-20,15,その他,その他,なし
窃盗,自動販売機ねらい,南,南太田,141054,神奈川県,横浜市南区,清水ケ丘,2020-11-13,03,その他,その他,あり
窃盗,自動販売機ねらい,大和,大和駅前,142131,神奈川県,大和市,中央２丁目,2020-12-28,04,その他,その他,なし
窃盗,自動販売機ねらい,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間１丁目,2020-05-08,10,その他,その他,あり
窃盗,自動販売機ねらい,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間１丁目,2020-11-10,12,その他,その他,なし
窃盗,自動販売機ねらい,大和,深谷,142182,神奈川県,綾瀬市,深谷南７丁目,2020-04-12,18,その他,その他,あり
窃盗,自動販売機ねらい,戸塚,踊場,141101,神奈川県,横浜市戸塚区,矢部町,2020-02-07,11,その他,その他,あり
窃盗,自動販売機ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,東俣野町,2020-09-18,10,その他,その他,あり
窃盗,自動販売機ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,東俣野町,2020-10-30,20,その他,その他,あり
窃盗,自動販売機ねらい,戸塚,戸塚駅東口,141101,神奈川県,横浜市戸塚区,吉田町,2020-01-25,15,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,加賀町,山下町,141046,神奈川県,横浜市中区,山下町,2020-12-18,14,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,金沢,並木,141089,神奈川県,横浜市金沢区,鳥浜町,2020-05-01,10,その他,その他,あり
窃盗,自動販売機ねらい,金沢,幸浦,141089,神奈川県,横浜市金沢区,福浦２丁目,2020-09-17,15,その他,その他,あり
窃盗,自動販売機ねらい,伊勢佐木,伊勢佐木町,141046,神奈川県,横浜市中区,末吉町１丁目,2020-10-28,10,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,伊勢佐木,長者町,141046,神奈川県,横浜市中区,翁町２丁目,2020-01-05,19,その他,その他,あり
窃盗,自動販売機ねらい,伊勢佐木,寿町,141046,神奈川県,横浜市中区,松影町１丁目,2020-05-11,17,駐車（輪）場,駐車（輪）場,なし
窃盗,自動販売機ねらい,伊勢佐木,寿町,141046,神奈川県,横浜市中区,松影町３丁目,2020-10-31,16,その他,その他,なし
窃盗,自動販売機ねらい,伊勢佐木,寿町,141046,神奈川県,横浜市中区,吉浜町,2020-05-12,02,駐車（輪）場,駐車（輪）場,なし
窃盗,自動販売機ねらい,戸部,高島,141038,神奈川県,横浜市西区,桜木町５丁目,2020-05-01,14,その他,その他,あり
窃盗,自動販売機ねらい,戸部,高島,141038,神奈川県,横浜市西区,高島２丁目,2020-07-08,20,その他,その他,あり
窃盗,自動販売機ねらい,戸部,南浅間町,141038,神奈川県,横浜市西区,浅間町５丁目,2020-04-07,09,駐車（輪）場,駐車（輪）場,なし
窃盗,自動販売機ねらい,戸部,みなとみらい,141038,神奈川県,横浜市西区,みなとみらい６丁目,2020-11-07,18,その他,その他,あり
窃盗,自動販売機ねらい,神奈川,神奈川通,141020,神奈川県,横浜市神奈川区,浦島町,2020-08-14,17,その他,その他,あり
窃盗,自動販売機ねらい,神奈川,神之木,141020,神奈川県,横浜市神奈川区,西寺尾３丁目,2020-05-26,12,その他,その他,なし
窃盗,自動販売機ねらい,神奈川,大口駅前,141020,神奈川県,横浜市神奈川区,大口通,2020-11-03,15,その他,その他,あり
窃盗,自動販売機ねらい,神奈川,六角橋,141020,神奈川県,横浜市神奈川区,六角橋４丁目,2020-05-20,08,その他,その他,あり
窃盗,自動販売機ねらい,神奈川,三ツ沢,141020,神奈川県,横浜市神奈川区,三ツ沢上町,2020-11-04,02,その他,その他,あり
窃盗,自動販売機ねらい,神奈川,三ツ沢,141020,神奈川県,横浜市神奈川区,三ツ沢上町,2020-12-02,22,その他,その他,あり
窃盗,自動販売機ねらい,神奈川,反町,141020,神奈川県,横浜市神奈川区,上反町１丁目,2020-06-18,13,その他,その他,あり
窃盗,自動販売機ねらい,神奈川,反町,141020,神奈川県,横浜市神奈川区,桐畑,2020-05-27,03,その他,その他,なし
窃盗,自動販売機ねらい,鶴見,本町通,141011,神奈川県,横浜市鶴見区,小野町,2020-05-21,20,その他,その他,なし
窃盗,自動販売機ねらい,鶴見,生麦,141011,神奈川県,横浜市鶴見区,生麦３丁目,2020-11-25,04,その他,その他,あり
窃盗,自動販売機ねらい,鶴見,生麦,141011,神奈川県,横浜市鶴見区,生麦４丁目,2020-12-05,19,その他,その他,あり
窃盗,自動販売機ねらい,鶴見,末吉,141011,神奈川県,横浜市鶴見区,下末吉１丁目,2020-05-07,13,その他,その他,なし
窃盗,自動販売機ねらい,鶴見,東寺尾,141011,神奈川県,横浜市鶴見区,東寺尾６丁目,2020-06-22,21,その他,その他,なし
窃盗,自動販売機ねらい,鶴見,駒岡,141011,神奈川県,横浜市鶴見区,駒岡２丁目,2020-03-28,10,その他,駐車（輪）場,あり
窃盗,自動販売機ねらい,鶴見,駒岡,141011,神奈川県,横浜市鶴見区,駒岡２丁目,2020-06-25,22,駐車（輪）場,駐車（輪）場,なし
窃盗,自動販売機ねらい,鶴見,駒岡,141011,神奈川県,横浜市鶴見区,駒岡３丁目,2020-05-21,11,その他,その他,なし
窃盗,自動販売機ねらい,鶴見,駒岡,141011,神奈川県,横浜市鶴見区,獅子ケ谷２丁目,2020-04-17,17,道路上,その他,あり
窃盗,自動販売機ねらい,保土ケ谷,宮田町,141062,神奈川県,横浜市保土ケ谷区,川辺町,2020-10-31,18,その他,その他,あり
窃盗,自動販売機ねらい,保土ケ谷,宮田町,141062,神奈川県,横浜市保土ケ谷区,天王町１丁目,2020-08-11,09,その他,その他,なし
窃盗,自動販売機ねらい,港南,野庭,141119,神奈川県,横浜市港南区,野庭町,2020-07-18,19,その他,その他,なし
窃盗,自動販売機ねらい,港北,高田,141097,神奈川県,横浜市港北区,高田西１丁目,2020-03-27,18,その他,その他,あり
窃盗,自動販売機ねらい,港北,日吉東,141097,神奈川県,横浜市港北区,箕輪町２丁目,2020-09-25,14,その他,その他,あり
窃盗,自動販売機ねらい,瀬谷,阿久和町,141143,神奈川県,横浜市瀬谷区,阿久和南２丁目,2020-07-28,09,その他,その他,あり
窃盗,自動販売機ねらい,青葉,たまプラーザ駅前,141178,神奈川県,横浜市青葉区,美しが丘５丁目,2020-01-25,18,その他,その他,あり
窃盗,自動販売機ねらい,青葉,市が尾駅前,141178,神奈川県,横浜市青葉区,荏田西４丁目,2020-08-29,17,その他,その他,あり
窃盗,自動販売機ねらい,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,堀之内町,2020-11-23,06,その他,その他,あり
