罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金被害の有無
窃盗,自動販売機ねらい,大和,つきみ野駅前,142131,神奈川県,大和市,つきみ野５丁目,2023/2/11,21,その他,その他,なし
窃盗,自動販売機ねらい,大和,南林間駅前,142131,神奈川県,大和市,林間２丁目,2023/1/3,4,その他,その他,なし
窃盗,自動販売機ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,上和田,2022/12/18,16,道路上,その他,あり
窃盗,自動販売機ねらい,大和,深谷,142182,神奈川県,綾瀬市,落合北７丁目,2023/6/12,14,その他,その他,なし
窃盗,自動販売機ねらい,大和,深谷,142182,神奈川県,綾瀬市,深谷中６丁目,2023/2/11,9,その他,その他,あり
窃盗,自動販売機ねらい,大和,深谷,142182,神奈川県,綾瀬市,深谷中６丁目,2023/6/12,17,その他,その他,あり
窃盗,自動販売機ねらい,大和,綾瀬地区,142182,神奈川県,綾瀬市,吉岡,2022/12/22,15,道路上,その他,あり
窃盗,自動販売機ねらい,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間１丁目,2023/1/16,1,その他,その他,なし
窃盗,自動販売機ねらい,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間５丁目,2023/5/8,4,その他,その他,なし
窃盗,自動販売機ねらい,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間５丁目,2023/6/30,23,その他,その他,なし
窃盗,自動販売機ねらい,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,和泉町,2023/3/22,12,その他,その他,あり
窃盗,自動販売機ねらい,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2023/12/13,20,その他,その他,あり
窃盗,自動販売機ねらい,旭,ひかりが丘,141127,神奈川県,横浜市旭区,上白根３丁目,2023/2/18,21,その他,その他,あり
窃盗,自動販売機ねらい,旭,二俣川,141127,神奈川県,横浜市旭区,二俣川１丁目,2023/4/14,19,駐車（輪）場,駐車（輪）場,なし
窃盗,自動販売機ねらい,加賀町,元町,141046,神奈川県,横浜市中区,山下町,2023/5/8,20,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,磯子,根岸駅前,141071,神奈川県,横浜市磯子区,原町,2023/4/15,23,その他,その他,あり
窃盗,自動販売機ねらい,金沢,幸浦,141089,神奈川県,横浜市金沢区,福浦１丁目,2023/6/14,14,その他,その他,あり
窃盗,自動販売機ねらい,伊勢佐木,寿町,141046,神奈川県,横浜市中区,松影町１丁目,2023/4/13,10,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,伊勢佐木,寿町,141046,神奈川県,横浜市中区,松影町３丁目,2023/8/19,17,その他,その他,あり
