罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,磯子,間坂,141071,神奈川県,横浜市磯子区,磯子３丁目,2020-05-22,10,道路上,男性,70歳以上,なし
窃盗,ひったくり,磯子,森,141071,神奈川県,横浜市磯子区,森５丁目,2020-12-25,19,道路上,男性,65-69歳,あり
窃盗,ひったくり,磯子,杉田,141071,神奈川県,横浜市磯子区,杉田３丁目,2020-01-13,16,道路上,女性,65-69歳,あり
窃盗,ひったくり,磯子,洋光台,141071,神奈川県,横浜市磯子区,洋光台３丁目,2020-05-07,15,道路上,女性,70歳以上,あり
窃盗,ひったくり,金沢,六浦川,141089,神奈川県,横浜市金沢区,六浦南２丁目,2020-04-21,22,道路上,女性,70歳以上,あり
窃盗,ひったくり,伊勢佐木,伊勢佐木町,141046,神奈川県,横浜市中区,末吉町２丁目,2020-05-15,23,道路上,女性,50歳代,あり
窃盗,ひったくり,伊勢佐木,横浜橋,141046,神奈川県,横浜市中区,曙町４丁目,2020-01-06,23,道路上,女性,70歳以上,なし
窃盗,ひったくり,伊勢佐木,長者町,141046,神奈川県,横浜市中区,長者町２丁目,2020-08-04,11,道路上,男性,65-69歳,あり
窃盗,ひったくり,伊勢佐木,寿町,141046,神奈川県,横浜市中区,吉浜町,2020-07-03,10,道路上,男性,70歳以上,あり
窃盗,ひったくり,伊勢佐木,吉田橋,141046,神奈川県,横浜市中区,蓬莱町３丁目,2020-05-28,05,道路上,女性,40歳代,あり
窃盗,ひったくり,伊勢佐木,桜木町駅前,141046,神奈川県,横浜市中区,花咲町１丁目,2020-09-05,05,道路上,男性,30歳代,なし
窃盗,ひったくり,伊勢佐木,都橋,141046,神奈川県,横浜市中区,野毛町４丁目,2020-04-12,00,道路上,男性,40歳代,あり
窃盗,ひったくり,伊勢佐木,都橋,141046,神奈川県,横浜市中区,宮川町２丁目,2020-09-06,14,道路上,女性,50歳代,あり
窃盗,ひったくり,戸部,横浜駅相鉄口,141038,神奈川県,横浜市西区,南幸１丁目,2020-07-14,19,その他,女性,70歳以上,あり
窃盗,ひったくり,戸部,野毛山公園,141038,神奈川県,横浜市西区,宮崎町,2020-09-04,10,道路上,女性,20歳代,あり
窃盗,ひったくり,神奈川,大口駅前,141020,神奈川県,横浜市神奈川区,大口仲町,2020-10-12,00,道路上,女性,10歳代,あり
窃盗,ひったくり,神奈川,浦島丘,141020,神奈川県,横浜市神奈川区,浦島丘,2020-09-05,23,道路上,女性,20歳代,あり
窃盗,ひったくり,神奈川,三ツ沢,141020,神奈川県,横浜市神奈川区,三ツ沢東町,2020-09-02,18,道路上,女性,30歳代,あり
窃盗,ひったくり,鶴見,潮田,141011,神奈川県,横浜市鶴見区,汐入町２丁目,2020-07-04,20,道路上,女性,65-69歳,あり
窃盗,ひったくり,鶴見,市場,141011,神奈川県,横浜市鶴見区,菅沢町,2020-03-11,19,道路上,女性,70歳以上,あり
窃盗,ひったくり,鶴見,末吉,141011,神奈川県,横浜市鶴見区,下末吉２丁目,2020-06-12,23,道路上,男性,70歳以上,なし
窃盗,ひったくり,保土ケ谷,岡沢町,141062,神奈川県,横浜市保土ケ谷区,峰沢町,2020-07-02,13,道路上,女性,60-64歳,あり
窃盗,ひったくり,港南,芹が谷,141119,神奈川県,横浜市港南区,東芹が谷,2020-04-02,10,道路上,女性,70歳以上,あり
窃盗,ひったくり,港南,上永谷駅前,141119,神奈川県,横浜市港南区,丸山台２丁目,2020-09-15,06,道路上,男性,50歳代,あり
窃盗,ひったくり,港南,日限山,141119,神奈川県,横浜市港南区,日限山３丁目,2020-02-03,15,その他,女性,70歳以上,あり
窃盗,ひったくり,港南,港南台南,141119,神奈川県,横浜市港南区,港南台６丁目,2020-03-21,16,道路上,女性,70歳以上,なし
窃盗,ひったくり,緑,中山駅前,141135,神奈川県,横浜市緑区,台村町,2020-11-19,19,道路上,女性,20歳代,あり
窃盗,ひったくり,瀬谷,瀬谷駅前,141143,神奈川県,横浜市瀬谷区,瀬谷４丁目,2020-05-10,13,道路上,男性,30歳代,あり
窃盗,ひったくり,瀬谷,瀬谷駅前,141143,神奈川県,横浜市瀬谷区,瀬谷５丁目,2020-09-23,22,道路上,女性,20歳代,なし
窃盗,ひったくり,瀬谷,南台,141143,神奈川県,横浜市瀬谷区,南台１丁目,2020-04-08,10,道路上,女性,70歳以上,あり
窃盗,ひったくり,瀬谷,南台,141143,神奈川県,横浜市瀬谷区,南台１丁目,2020-06-19,14,道路上,女性,50歳代,あり
窃盗,ひったくり,瀬谷,目黒,141143,神奈川県,横浜市瀬谷区,五貫目町,2020-04-06,09,道路上,女性,10歳代,なし
窃盗,ひったくり,青葉,青葉台駅前,141178,神奈川県,横浜市青葉区,青葉台２丁目,2020-10-14,21,道路上,女性,10歳代,なし
窃盗,ひったくり,青葉,青葉台駅前,141178,神奈川県,横浜市青葉区,青葉台２丁目,2020-11-19,20,道路上,女性,20歳代,あり
窃盗,ひったくり,青葉,藤が丘駅前,141178,神奈川県,横浜市青葉区,千草台,2020-11-10,19,道路上,女性,60-64歳,あり
窃盗,ひったくり,都筑,北山田駅前,141186,神奈川県,横浜市都筑区,北山田２丁目,2020-04-12,03,道路上,男性,30歳代,なし
窃盗,ひったくり,川崎,京町通,141313,神奈川県,川崎市川崎区,京町１丁目,2020-06-20,13,道路上,女性,70歳以上,あり
窃盗,ひったくり,川崎,京町通,141313,神奈川県,川崎市川崎区,渡田山王町,2020-10-01,06,道路上,男性,50歳代,あり
窃盗,ひったくり,川崎,浅田,141313,神奈川県,川崎市川崎区,小田６丁目,2020-09-18,10,道路上,女性,70歳以上,あり
窃盗,ひったくり,川崎,大島町,141313,神奈川県,川崎市川崎区,大島２丁目,2020-10-30,13,道路上,女性,70歳以上,なし
窃盗,ひったくり,川崎,中島町,141313,神奈川県,川崎市川崎区,港町,2020-02-07,11,道路上,女性,70歳以上,あり
窃盗,ひったくり,川崎,南町,141313,神奈川県,川崎市川崎区,貝塚１丁目,2020-04-25,15,道路上,女性,70歳以上,あり
窃盗,ひったくり,高津,溝口駅前,141348,神奈川県,川崎市高津区,溝口２丁目,2019-12-21,23,道路上,男性,20歳代,なし
窃盗,ひったくり,多摩,宿河原,141356,神奈川県,川崎市多摩区,宿河原３丁目,2020-06-06,20,道路上,女性,20歳代,なし
窃盗,ひったくり,多摩,宿河原,141356,神奈川県,川崎市多摩区,宿河原５丁目,2020-02-24,18,その他,女性,70歳以上,あり
窃盗,ひったくり,幸,小向東芝町,141321,神奈川県,川崎市幸区,小向西町４丁目,2020-06-07,20,道路上,女性,70歳以上,あり
窃盗,ひったくり,幸,下平間,141321,神奈川県,川崎市幸区,下平間,2020-05-25,19,道路上,女性,40歳代,あり
窃盗,ひったくり,横須賀,中央駅前,142018,神奈川県,横須賀市,上町１丁目,2020-09-28,16,道路上,男性,10歳未満,あり
窃盗,ひったくり,横須賀,三春町三丁目,142018,神奈川県,横須賀市,三春町３丁目,2020-02-14,23,道路上,女性,60-64歳,なし
窃盗,ひったくり,浦賀,佐原,142018,神奈川県,横須賀市,岩戸４丁目,2020-05-09,12,道路上,女性,70歳以上,あり
窃盗,ひったくり,藤沢北,長後駅前,142051,神奈川県,藤沢市,高倉,2020-01-20,21,道路上,男性,30歳代,なし
窃盗,ひったくり,藤沢北,長後駅前,142051,神奈川県,藤沢市,長後,2020-07-24,12,道路上,女性,70歳以上,あり
窃盗,ひったくり,藤沢北,湘南ライフタウン,142051,神奈川県,藤沢市,大庭,2020-08-10,02,道路上,女性,20歳代,あり
窃盗,ひったくり,逗子,逗子ハイランド,142085,神奈川県,逗子市,久木８丁目,2020-03-19,12,道路上,女性,70歳以上,あり
窃盗,ひったくり,鎌倉,梶原口,142042,神奈川県,鎌倉市,梶原２丁目,2020-03-09,14,道路上,女性,70歳以上,あり
窃盗,ひったくり,藤沢,鵠沼海岸駅前,142051,神奈川県,藤沢市,鵠沼海岸１丁目,2020-04-25,21,道路上,女性,20歳代,なし
窃盗,ひったくり,藤沢,片瀬山,142051,神奈川県,藤沢市,片瀬山２丁目,2020-03-31,18,道路上,女性,70歳以上,あり
窃盗,ひったくり,藤沢,藤沢駅南口,142051,神奈川県,藤沢市,南藤沢,2020-01-29,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,茅ケ崎,茅ケ崎駅前,142077,神奈川県,茅ヶ崎市,元町,2020-01-29,16,その他,女性,70歳以上,あり
窃盗,ひったくり,茅ケ崎,中海岸,142077,神奈川県,茅ヶ崎市,東海岸北１丁目,2020-12-03,14,道路上,女性,50歳代,あり
窃盗,ひったくり,茅ケ崎,鶴が台,142077,神奈川県,茅ヶ崎市,松風台,2020-07-27,11,道路上,女性,70歳以上,あり
窃盗,ひったくり,茅ケ崎,岡田,143219,神奈川県,寒川町,小谷３丁目,2020-04-22,12,道路上,女性,65-69歳,あり
窃盗,ひったくり,茅ケ崎,宮山,143219,神奈川県,寒川町,倉見,2020-06-15,14,道路上,女性,65-69歳,あり
窃盗,ひったくり,茅ケ崎,宮山,143219,神奈川県,寒川町,倉見,2020-07-21,11,道路上,女性,65-69歳,あり
窃盗,ひったくり,茅ケ崎,寒川駅前,143219,神奈川県,寒川町,岡田,2020-05-19,19,道路上,女性,50歳代,なし
窃盗,ひったくり,平塚,須賀,142034,神奈川県,平塚市,久領堤,2020-12-22,09,その他,男性,70歳以上,あり
窃盗,ひったくり,平塚,西仲町,142034,神奈川県,平塚市,平塚２丁目,2020-05-27,11,道路上,女性,70歳以上,あり
窃盗,ひったくり,小田原,小田原駅東口,142069,神奈川県,小田原市,栄町１丁目,2020-05-30,20,道路上,女性,70歳以上,あり
窃盗,ひったくり,小田原,上府中,142069,神奈川県,小田原市,千代,2020-04-06,20,道路上,男性,40歳代,あり
窃盗,ひったくり,松田,新松田駅前,143634,神奈川県,松田町,松田惣領,2020-01-13,21,道路上,女性,40歳代,なし
窃盗,ひったくり,松田,新松田駅前,143634,神奈川県,松田町,松田惣領,2020-02-03,19,道路上,女性,10歳代,なし
窃盗,ひったくり,松田,新松田駅前,143634,神奈川県,松田町,松田惣領,2020-02-15,00,道路上,女性,20歳代,なし
窃盗,ひったくり,松田,新松田駅前,143634,神奈川県,松田町,松田惣領,2020-02-24,19,道路上,女性,30歳代,なし
窃盗,ひったくり,松田,新松田駅前,143634,神奈川県,松田町,松田惣領,2020-03-14,21,道路上,女性,20歳代,なし
窃盗,ひったくり,松田,新松田駅前,143634,神奈川県,松田町,松田惣領,2020-04-20,19,道路上,女性,30歳代,なし
窃盗,ひったくり,秦野,南が丘,142115,神奈川県,秦野市,尾尻,2020-12-29,01,道路上,女性,10歳代,なし
窃盗,ひったくり,厚木,春日台,144011,神奈川県,愛川町,中津,2020-04-03,11,道路上,女性,30歳代,あり
窃盗,ひったくり,相模原,相模原駅前,141526,神奈川県,相模原市中央区,すすきの町,2020-08-13,21,道路上,女性,50歳代,あり
窃盗,ひったくり,相模原,南橋本駅前,141526,神奈川県,相模原市中央区,清新３丁目,2020-05-07,10,道路上,女性,70歳以上,あり
窃盗,ひったくり,津久井,城山,141518,神奈川県,相模原市緑区,町屋１丁目,2020-08-27,10,道路上,女性,70歳以上,あり
窃盗,ひったくり,相模原南,麻溝公園前,141534,神奈川県,相模原市南区,麻溝台,2020-06-28,19,その他,男性,30歳代,あり
窃盗,ひったくり,座間,相模が丘,142166,神奈川県,座間市,相模が丘２丁目,2020-05-19,14,道路上,女性,70歳以上,あり
窃盗,ひったくり,海老名,海西,142158,神奈川県,海老名市,上郷,2020-05-27,07,道路上,男性,20歳代,あり
窃盗,ひったくり,相模原北,橋本駅前,141518,神奈川県,相模原市緑区,橋本２丁目,2020-08-27,21,道路上,男性,60-64歳,あり
窃盗,ひったくり,相模原北,橋本駅前,141518,神奈川県,相模原市緑区,橋本３丁目,2020-04-02,23,道路上,女性,30歳代,なし
窃盗,ひったくり,相模原北,橋本五差路,141518,神奈川県,相模原市緑区,橋本台２丁目,2020-01-05,06,道路上,男性,50歳代,なし
窃盗,ひったくり,相模原北,相原,141518,神奈川県,相模原市緑区,相原４丁目,2020-01-06,17,道路上,女性,40歳代,あり
窃盗,ひったくり,相模原北,相原,141518,神奈川県,相模原市緑区,二本松４丁目,2020-12-24,20,道路上,女性,40歳代,あり
