罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,南,通町,141054,神奈川県,横浜市南区,花之木町３丁目,2020-09-19,00,道路上,女性,30歳代,なし
窃盗,ひったくり,南,浦舟町,141054,神奈川県,横浜市南区,高根町１丁目,2020-08-28,22,道路上,女性,60-64歳,あり
窃盗,ひったくり,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間３丁目,2020-04-09,10,その他,女性,30歳代,あり
窃盗,ひったくり,大和,南林間駅前,142131,神奈川県,大和市,南林間２丁目,2020-04-10,11,道路上,女性,70歳以上,あり
窃盗,ひったくり,大和,南林間駅前,142131,神奈川県,大和市,南林間７丁目,2020-01-03,00,道路上,女性,30歳代,なし
窃盗,ひったくり,大和,中央林間,142131,神奈川県,大和市,中央林間西６丁目,2020-01-20,21,道路上,男性,40歳代,あり
窃盗,ひったくり,大和,福田,142131,神奈川県,大和市,福田,2020-06-17,15,道路上,女性,50歳代,あり
窃盗,ひったくり,大和,寺尾,142182,神奈川県,綾瀬市,小園南１丁目,2020-09-29,12,道路上,女性,70歳以上,あり
窃盗,ひったくり,泉,中田,141160,神奈川県,横浜市泉区,中田西２丁目,2020-09-16,20,道路上,男性,10歳代,なし
窃盗,ひったくり,泉,緑園都市駅前,141160,神奈川県,横浜市泉区,緑園７丁目,2020-12-16,18,道路上,女性,40歳代,なし
窃盗,ひったくり,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2020-10-31,00,道路上,女性,30歳代,なし
窃盗,ひったくり,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2020-12-24,01,道路上,男性,40歳代,あり
窃盗,ひったくり,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,矢部町,2020-12-23,23,道路上,女性,50歳代,あり
窃盗,ひったくり,戸塚,東戸塚駅前,141101,神奈川県,横浜市戸塚区,品濃町,2020-04-07,13,道路上,女性,70歳以上,あり
窃盗,ひったくり,旭,上川井,141127,神奈川県,横浜市旭区,川井本町,2020-08-05,17,道路上,男性,50歳代,なし
窃盗,ひったくり,山手,見晴通,141046,神奈川県,横浜市中区,北方町１丁目,2020-04-08,19,道路上,女性,40歳代,あり
窃盗,ひったくり,山手,見晴通,141046,神奈川県,横浜市中区,本牧町１丁目,2020-07-14,14,道路上,女性,60-64歳,あり
窃盗,ひったくり,山手,見晴通,141046,神奈川県,横浜市中区,本牧町２丁目,2020-01-03,20,道路上,女性,30歳代,なし
窃盗,ひったくり,山手,見晴通,141046,神奈川県,横浜市中区,本牧町２丁目,2020-03-01,17,道路上,女性,50歳代,あり
窃盗,ひったくり,山手,本牧ふ頭,141046,神奈川県,横浜市中区,本牧宮原,2020-04-09,15,道路上,女性,50歳代,なし
窃盗,ひったくり,磯子,間坂,141071,神奈川県,横浜市磯子区,磯子２丁目,2020-12-05,05,その他,女性,65-69歳,なし
