罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,伊勢佐木,,141054,神奈川県,横浜市南区,真金町２丁目,20230419,20,道路上,女性,65-69歳,あり
窃盗,ひったくり,神奈川,神之木,141020,神奈川県,横浜市神奈川区,西寺尾１丁目,20240703,13,道路上,女性,30歳代,あり
窃盗,ひったくり,神奈川,神大寺,141020,神奈川県,横浜市神奈川区,片倉１丁目,20240614,15,道路上,女性,70歳以上,あり
窃盗,ひったくり,鶴見,尻手,141011,神奈川県,横浜市鶴見区,矢向１丁目,20240717,17,道路上,男性,70歳以上,あり
窃盗,ひったくり,鶴見,北寺尾,141011,神奈川県,横浜市鶴見区,北寺尾７丁目,20231228,12,道路上,男性,70歳以上,あり
窃盗,ひったくり,保土ケ谷,宮田町,141062,神奈川県,横浜市保土ケ谷区,天王町１丁目,20240116,18,道路上,男性,65-69歳,なし
窃盗,ひったくり,緑,長津田駅前,141135,神奈川県,横浜市緑区,長津田５丁目,20241128,1,道路上,女性,20歳代,あり
窃盗,ひったくり,緑,中山駅前,141135,神奈川県,横浜市緑区,上山１丁目,20240313,22,道路上,男性,70歳以上,あり
窃盗,ひったくり,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,20240317,15,道路上,女性,20歳代,なし
窃盗,ひったくり,戸塚,上矢部,141101,神奈川県,横浜市戸塚区,名瀬町,20240113,12,道路上,女性,70歳以上,あり
窃盗,ひったくり,港北,綱島駅前,141097,神奈川県,横浜市港北区,綱島西３丁目,20240824,18,道路上,女性,65-69歳,なし
窃盗,ひったくり,港北,綱島駅前,141097,神奈川県,横浜市港北区,綱島西３丁目,20241013,2,道路上,女性,20歳代,なし
窃盗,ひったくり,旭,,141101,神奈川県,横浜市戸塚区,戸塚町,20240317,15,道路上,男性,10歳代,なし
窃盗,ひったくり,川崎,大島町,141313,神奈川県,川崎市川崎区,大島２丁目,20241109,21,道路上,女性,20歳代,あり
窃盗,ひったくり,川崎,中島町,141313,神奈川県,川崎市川崎区,伊勢町,20240510,19,道路上,女性,50歳代,あり
窃盗,ひったくり,川崎,中島町,141313,神奈川県,川崎市川崎区,中島２丁目,20240326,23,道路上,女性,20歳代,なし
窃盗,ひったくり,高津,北見方,141348,神奈川県,川崎市高津区,二子４丁目,20240417,21,その他,男性,50歳代,なし
窃盗,ひったくり,多摩,向ヶ丘遊園駅前,141356,神奈川県,川崎市多摩区,東生田２丁目,20241017,9,道路上,女性,40歳代,なし
窃盗,ひったくり,多摩,菅,141356,神奈川県,川崎市多摩区,菅１丁目,20240406,23,道路上,女性,20歳代,なし
窃盗,ひったくり,多摩,読売ランド駅前,141356,神奈川県,川崎市多摩区,西生田４丁目,20241114,0,道路上,男性,60-64歳,あり
窃盗,ひったくり,幸,河原町,141321,神奈川県,川崎市幸区,河原町,20240502,13,その他,女性,70歳以上,あり
窃盗,ひったくり,幸,河原町,141321,神奈川県,川崎市幸区,河原町,20240513,20,その他,女性,70歳以上,なし
窃盗,ひったくり,宮前,宮前平駅前,141364,神奈川県,川崎市宮前区,小台２丁目,20241224,23,その他,男性,30歳代,なし
窃盗,ひったくり,横須賀,中央駅前,142018,神奈川県,横須賀市,米が浜通２丁目,20231119,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,横須賀南,久里浜,142018,神奈川県,横須賀市,内川２丁目,20241119,5,道路上,男性,60-64歳,あり
窃盗,ひったくり,茅ケ崎,浜見平,142077,神奈川県,茅ヶ崎市,柳島２丁目,20241225,21,道路上,女性,65-69歳,なし
窃盗,ひったくり,厚木,本厚木駅前,142123,神奈川県,厚木市,中町１丁目,20241103,0,道路上,男性,30歳代,なし
窃盗,ひったくり,厚木,緑ケ丘,142123,神奈川県,厚木市,戸室２丁目,20230917,1,道路上,女性,20歳代,なし
窃盗,ひったくり,相模原南,相武台,141534,神奈川県,相模原市南区,相武台３丁目,20240313,13,道路上,男性,70歳以上,なし
窃盗,ひったくり,相模原北,橋本駅前,141518,神奈川県,相模原市緑区,橋本３丁目,20231025,17,その他,女性,10歳代,あり
